指標名,世界トップ企業,,,,,,,,,,,,,,
出典,Forbes,,,,,,,,,,,,,,
年次,2024年,,,,,,,,,,,,,,
URL,"https://www.forbes.com/global2000, https://fortune.com/ranking/global500/2024/",,,,,,,,,,,,,,
備考,2019：157件　2020：165件　2021：163件　2022：150件　2023：141件　2024年：145件,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,,
新宿区,市谷加賀町１丁目,－,東京都新宿区市谷加賀町１丁目１番１号,35.695623,139.731017,Dai Nippon Printing,大日本印刷株式会社,Forbes Global 2024,1674,$9.85 B,$767.1 M,$12.92 B,$7.37 B,36246,https://www.forbes.com/companies/dai-nippon-printing/?list=global2000
中央区,八重洲２丁目,日八京,東京都中央区八重洲２丁目７番１５号,35.677204,139.768215,Medipal Holdings,株式会社メディパルホールディングス,Forbes Global 2024,1689,$24.61 B,$286.8 M,$11.89 B,$3.03 B,12801,https://www.forbes.com/companies/medipal-holdings/?list=global2000
台東区,台東１丁目,－,東京都台東区台東1丁目5番1号,35.70075,139.77818,Toppan Printing,TOPPANホールディングス株式会社,Forbes Global 2024,1715,$11.61 B,$514.5 M,$16.07 B,$7.83 B,54336,https://www.forbes.com/companies/toppan-printing/?list=global2000
港区,六本木１丁目,虎ノ門,東京都港区六本木一丁目６－１　泉ガーデンタワー１８階,35.665238,139.739596,SBI Sumishin Net Bank,住信ＳＢＩネット銀行,Forbes Global 2024,1715,$819 M,$171.8 M,$70.54 B,$2.56 B,607,https://www.forbes.com/companies/sbi-sumishin-net-bank/?list=global2000
千代田区,内幸町２丁目,－,東京都千代田区内幸町２丁目１番１号　飯野ビルディング,35.670784,139.752325,Kawasaki Kisen Kaisha,川崎汽船株式会社,Forbes Global 2024,1723,$6.66 B,$724.6 M,$13.94 B,$10.5 B,5158,https://www.forbes.com/companies/kawasaki-kisen-kaisha/?list=global2000
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目６番２号,35.684122,139.766415,Advantest,株式会社アドバンテスト,Forbes Global 2024,1740,$3.36 B,$430.8 M,$4.43 B,$26.32 B,5261,https://www.forbes.com/companies/advantest/?list=global2000
北区,神谷３丁目,－,東京都北区神谷三丁目6番20号,35.77131,139.73436,Nitori Holdings,株式会社ニトリホールディングス,Forbes Global 2024,1763,$6.2 B,$598.4 M,$8.18 B,$13.44 B,18984,https://www.forbes.com/companies/nitori-holdings/?list=global2000
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目１番３号,35.685966,139.762736,Alfresa Holdings,アルフレッサ　ホールディングス株式会社,Forbes Global 2024,1787,$19.77 B,$204.4 M,$9.56 B,$2.55 B,11925,https://www.forbes.com/companies/alfresa-holdings/?list=global2000
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１－９－２　大手町フィナンシャルシティ　グランキューブ,35.688293,139.762509,Nomura Research Institute,野村総合研究所,Forbes Global 2024,1806,$5.09 B,$550.8 M,$6.1 B,$15.94 B,6507,https://www.forbes.com/companies/nomura-research/?list=global2000
大田区,中馬込１丁目,－,東京都大田区中馬込１丁目３−６ リコー大森事業所,35.59777,139.70600,Ricoh,株式会社リコー,Forbes Global 2024,1821,$16.24 B,$305.5 M,$15.11 B,$4.93 B,81017,https://www.forbes.com/companies/ricoh/?list=global2000
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目８－１,35.664984,139.762365,Dentsu,株式会社　電通,Forbes Global 2024,1836,$9.21 B,$-117.8 M,$23.95 B,$7.05 B,71127,https://www.forbes.com/companies/dentsu/?list=global2000
中央区,京橋２丁目,日八京,東京都中央区京橋二丁目１６番１号,35.676457,139.773033,Shimizu,清水建設株式会社,Forbes Global 2024,1843,$13.87 B,$118.7 M,$16.77 B,$4.04 B,10845,https://www.forbes.com/companies/shimizu/?list=global2000
港区,海岸１丁目,－,東京都港区海岸１丁目１４丁目５,35.65436,139.761658,Kawasaki Heavy Industries,川崎重工業株式会社,Forbes Global 2024,1844,$12.79 B,$175.5 M,$17.71 B,$5.95 B,38254,https://www.forbes.com/companies/kawasaki-heavy-industries/?list=global2000
千代田区,麹町６丁目,－,東京都千代田区麹町６丁目１－１,35.684643,139.732602,Aozora Bank,株式会社あおぞら銀行,Forbes Global 2024,1881,$1.54 B,$-345.1 M,$50.24 B,$1.79 B,2494,https://www.forbes.com/companies/aozora-bank/?list=global2000
港区,港南２丁目,－,東京都港区港南二丁目１６番１号,35.627788,139.740748,Daito Trust Construction,大東建託株式会社,Forbes Global 2024,1888,$11.97 B,$516.5 M,$7.14 B,$6.88 B,17422,https://www.forbes.com/companies/daito-trust-construction/?list=global2000
中央区,築地１丁目,－,東京都中央区築地１丁目１３－１　銀座松竹スクエア,35.668151,139.769492,Hanwa,阪和興業株式会社,Forbes Global 2024,1899,$16.82 B,$265.7 M,$7.71 B,$1.65 B,5123,https://www.forbes.com/companies/hanwa/?list=global2000
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内二丁目７番２号JPタワー20F・21F,35.67906,139.76457,Open House,株式会社オープンハウスグループ,Forbes Global 2024,1912,$8.36 B,$688.1 M,$8.75 B,$3.53 B,4904,https://www.forbes.com/companies/open-house/?list=global2000
新宿区,新宿５丁目,－,東京都新宿区新宿５丁目９番２号,35.692008,139.708809,Tokyo Kiraboshi Financial Group,株式会社東京きらぼしフィナンシャルグループ,Forbes Global 2024,1917,$840 M,$177.4 M,$47.53 B,$848 M,2214,https://www.forbes.com/companies/tokyo-kiraboshi-financial-group/?list=global2000
千代田区,神田和泉町,－,東京都千代田区神田和泉町２番地,35.699518,139.777576,NIPPON EXPRESS HOLDINGS,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス株式会社,Forbes Global 2024,1928,$15.76 B,$169.8 M,$14.42 B,$4.25 B,74438,https://www.forbes.com/companies/nippon-express-holdings/?list=global2000
新宿区,西新宿２丁目,－,東京都新宿区西新宿一丁目２５番１号　新宿センタービル,35.69171,139.692883,Taisei,大成建設株式会社,Forbes Global 2024,1932,$12.21 B,$278.5 M,$17.07 B,$6.6 B,14518,https://www.forbes.com/companies/taisei/?list=global2000
港区,芝浦１丁目,－,東京都港区芝浦１丁目２−２ アトリウム棟,35.64954,139.75662,Sharp,シャープ株式会社,Forbes Global 2024,1953,$16.06 B,$-1.04 B,$10.51 B,$3.44 B,45729,https://www.forbes.com/companies/sharp/?list=global2000
