指標名,ホール・劇場,,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,,
年次,2024年3月末,,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,,
備考,野外会場も含む。（2019年度：439件、2020年度：521件、2024年度：469件）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯,施設種別
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7,35.66257,139.69801,ＣＨＥＬＳＥＡ ＨＯＴＥＬ,03-3770-1567,http://chelseahotel.jp,,,,,,,,,,,ホール・劇場
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7,35.66257,139.69801,渋谷ＴＨＥ ＧＡＭＥ,03-5456-5038,http://www.shibuyathegame.com/,,,,,,,,,,,ホール・劇場
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7,35.66257,139.69801,渋谷Ｍｉｌｋｙｗａｙ,03-6416-3227,http://www.shibuyamilkyway.com/,,,,,,,,,,,ホール・劇場
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7,35.66257,139.69801,ａｕｂｅ ｓｈｉｂｕｙａ,03-5459-2896,http://1091m.com/?page_id=8,,,,,,,,,,,ホール・劇場
渋谷区,円山町,-,東京都渋谷区円山町1-5,35.65947,139.69525,LOFT9 Shibuya,03-5784-1239,http://www.loft-prj.co.jp/loft9/,,,,,,,,,,,ホール・劇場
渋谷区,円山町,-,東京都渋谷区円山町1-8,35.65947,139.69525,clubasia,03-5458-2551,http://www.clubasia.co.jp,,,,,,,,,,,ホール・劇場
渋谷区,円山町,-,東京都渋谷区円山町18-2,35.65704,139.6942,Ｌａｎｔｅｒｎ,03-3476-0438,https://sites.google.com/site/lanternweb/,60,80,,,"固定席, 可動席（スタッキングチェア）","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ",一般に貸出している,,,ホール・劇場
渋谷区,円山町,-,東京都渋谷区円山町2-16,35.65831,139.69521,ＷＯＭＢ,03-5459-0039,http://www.womb.co.jp/,,500,組み替え式,オールスタンディング,,"ポップス, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, ダンスミュージック","ポップス, 日本の伝統音楽（邦楽等）, 映像上映会（試写会など）, ダンスミュージック",一般に貸出している,,9:00～22:00,ホール・劇場
渋谷区,円山町,-,東京都渋谷区円山町2-3,35.65831,139.69521,Spotify O-nest,03-3462-4420,https://shibuya-o.com/nest,,,プロセニアム形式,アリーナ・平土間形式,スタンディング方式,"ポップス, ジャズ, 演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）","ポップス, ジャズ, 演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）",,,,ホール・劇場
渋谷区,円山町,-,東京都渋谷区円山町2-3,35.65831,139.69521,渋谷７ｔｈ ＦＬＯＯＲ,03-3462-4466,http://7th-floor.net/,,,,,,,,,,,ホール・劇場
渋谷区,円山町,-,東京都渋谷区円山町2-3,35.65831,139.69521,Spotify O-WEST,03-5784-788,https;//shibuya-o.com/west,,,プロセニアム形式,シューボックス形式,スタンディング方式,"ポップス, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）","ポップス, ジャズ, 演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）",,,,ホール・劇場
渋谷区,円山町,-,東京都渋谷区円山町1-5,35.65763,139.69487,ユーロライブ,03-6675-5681,http://eurolive.jp/,178,178,,,固定席,"演劇, お笑い・寄席・演芸, 映像上映会（試写会など）, 撮影","演劇, お笑い・寄席・演芸, 映像上映会（試写会など）",利用条件の設定,自主興行の開催のない日、時間帯を一般に貸出している,9:30～22:30,ホール・劇場
渋谷区,猿楽町,-,東京都渋谷区猿楽町29,35.64793,139.70045,HILLSIDE TERRACE　HILLSIDE PLAZA,03-3780-5977,http://www.hillsideterrace.com/index2.html,,,,,,,,,,,ホール・劇場
渋谷区,猿楽町,-,東京都渋谷区猿楽町3-9,35.65247,139.70436,代官山NOMAD,03-3770-3723,http://www.daikanyama-nomad.com/,,,,,,,,,,,ホール・劇場
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-20-8,35.64669,139.71288,EBiS 303〔イベントホール〕,0120-303-557,https://www.ebis303.com/hall/,,,,,,,,,,,ホール・劇場
渋谷区,恵比寿３丁目,-,東京都渋谷区恵比寿3-9-25,35.64429,139.71614,日仏会館ホール,03-5424-1143,https://www.mfjtokyo.or.jp/space/hall.html,130,130,オープン形式,シューボックス形式,固定席,"クラシック, ジャズ, お笑い・寄席・演芸, 合唱, 映像上映会（試写会など）, 講演会","クラシック, ジャズ, 世界の民族音楽, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:30～20:30,ホール・劇場
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-34-17,35.64718,139.70297,ＵＮＩＴ,03-5459-8630,http://www.unit-tokyo.com,,,,,,,,,,,ホール・劇場
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西2-12-12,35.65044,139.70627,シアター代官山,03-3476-0189,http://www.himawari.net/about/theater.html,123,123,プロセニアム形式,シューボックス形式,固定席,"演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会","演劇, ミュージカル, ダンス・パフォーマンス",一般に貸出している,,9:30～21:30,ホール・劇場
渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南1-7-8,35.64611,139.70978,art café friends,03-6382-9050,http://www.artcafefriends.jp/index.html,,110,オープン形式,,可動席（スタッキングチェア）,"ポップス, クラシック, ジャズ, 映像上映会（試写会など）","クラシック, ジャズ, ミュージカル, オペラ",一般に貸出している,,9:00～23:00,ホール・劇場
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-3-14,35.64541,139.70764,ＮＯＳ ＥＢＩＳＵ,03-5773-1727,http://www.nos-ebisu.com/,,,,,,,,,,,ホール・劇場
渋谷区,恵比寿南３丁目,-,東京都渋谷区恵比寿南3-1-25,35.64583,139.70622,ＢＡＴＩＣＡ,03-5734-1995,http://www.batica.jp/,,,フロア、ステージ,フロア、ステージ,ソファあり,"ポップス, ジャズ, ダンス・パフォーマンス, 講演会, 展示会","ポップス, ジャズ, ダンス・パフォーマンス, 講演会, 展示会",一般に貸出している,,,ホール・劇場
渋谷区,桜丘町,-,東京都渋谷区桜丘町23-21,35.65552,139.7,渋谷区文化総合センター大和田〔さくらホール〕,03-3464-3251,http://www.shibu-cul.jp/sakurahall,735,735,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～22:00,ホール・劇場
渋谷区,桜丘町,-,東京都渋谷区桜丘町23-21,35.65552,139.7,渋谷区文化総合センター大和田〔伝承ホール〕,03-3464-3251,http://www.shibu-cul.jp/denshohall,345,345,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～22:00,ホール・劇場
渋谷区,桜丘町,-,東京都渋谷区桜丘町26-1,35.6563,139.69917,セルリアンタワー能楽堂,03-3477-6412,http://www.ceruleantower-noh.com/,201,201,能楽堂,能楽堂,可動席（スタッキングチェア）,"クラシック, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 講演会, 記者発表会","能・狂言, 日本の伝統音楽（邦楽等）",一般に貸出している,,9:00～21:00,ホール・劇場
渋谷区,桜丘町,-,東京都渋谷区桜丘町26-1,35.6563,139.69917,JZ Brat SOUND OF TOKYO,03-5728-0168,http://www.jzbrat.com/,95,95,オープン形式,アリーナ・平土間形式,"可動席（スタッキングチェア）, 一部ソファー席","ポップス, クラシック, ジャズ, ミュージカル, 日本の伝統音楽（邦楽等）, オペラ, ロック",,一般に貸出している,,14:00～21:00,ホール・劇場
渋谷区,笹塚２丁目,-,東京都渋谷区笹塚2-7-11,35.6752,139.66901,デュオステージ ＢＢｓ,03-3377-0777,http://www.djdj.co.jp/duobbs/,100,100,,アリーナ・平土間形式,可動席（スタッキングチェア）,"演劇, お笑い・寄席・演芸, 映像上映会（試写会など）","演劇, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会",利用条件の設定,-,,ホール・劇場
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-10-2,35.66063,139.70497,ｃｌｕｂ ｂａｒ ＦＡＭＩＬＹ,03-3400-9182,http://club-bar-family.com/,,,,,,,,,,,ホール・劇場
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-10-7,35.66063,139.70497,渋谷 ＨＯＭＥ,03-5774-5822,http://www.toos.co.jp/home/index.html,,,,,,,,,,,ホール・劇場
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-10-7,35.66063,139.70497,渋谷 ＬＵＳＨ,03-5467-3071,http://www.toos.co.jp/lush/,30,230,オープン形式,シューボックス形式,可動席（スタッキングチェア）,"ポップス, 演歌・歌謡曲, ジャズ, ダンス・パフォーマンス","ポップス, クラシック, 演歌・歌謡曲, ジャズ, お笑い・寄席・演芸, オペラ, ダンス・パフォーマンス, 合唱",一般に貸出している,,9:00～24:00,ホール・劇場
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-18-9,35.66185,139.70392,シニア・いきいきコミュニティ・美竹の丘〔多目的ホール〕,03-3486-4594,https://www.city.shibuya.tokyo.jp/shisetsu/koreisha/mitake.html,,186,,,,,,利用条件の設定,-,,ホール・劇場
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-23-16,35.66255,139.70284,東京カルチャーカルチャー,03-3599-2390,http://tcc.nifty.com/,,,,,,,,,,,ホール・劇場
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-3-3,35.66196,139.70598,DDD AOYAMA CROSS THEATER,03-5468-5475,http://www.ddd-hall.com/about/,,,プロセニアム形式,シューボックス形式,ロールバックチェア,"ポップス, ジャズ, 演劇, ミュージカル, 世界の民族音楽, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,10:00～22:30,ホール・劇場
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-12-13,35.65903,139.7076,ＬＡＳＴ ＷＡＬＴＺ ｂｙ ｓｈｉｏｓａｉ,03-6427-4651,http://lastwaltz.info/,,,,,,,,,,,ホール・劇場
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-21-1,35.65894,139.70341,渋谷ヒカリエ ヒカリエホール〔ホールＡ〕,03-5468-5088,http://www.hikarie.jp/hall/index.html,,,,,,,,,,,ホール・劇場
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-21-1,35.65894,139.70341,東急シアターオーブ,03-3477-9111,https://theatre-orb.com/,1972,1972,プロセニアム形式,,固定席,"ジャズ, ミュージカル, バレエ, ダンス・パフォーマンス","ミュージカル, ダンス・パフォーマンス",一般への貸出はしていない,,,ホール・劇場
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-21-1,35.65894,139.70341,渋谷ヒカリエ ヒカリエホール〔ホールＢ〕,03-5468-5088,http://www.hikarie.jp/hall/index.html,,,,,,,,,,,ホール・劇場
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-21-3,35.65709,139.70314,渋谷ストリーム〔渋谷ストリームホール〕,03-6419-9500,http://stream-hall.jp/,294,700,オープン形式,"シューボックス形式, 昇降ステージなので平土間にもできます",,"ポップス, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,9:00～20:00,ホール・劇場
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-4-25,35.66049,139.71027,青山学院　講堂,,https://www.aoyamagakuin.jp/introduction/data/environment.html,1703,1701,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, ジャズ, 歌舞伎, 能・狂言, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, ジャズ, 歌舞伎, 能・狂言, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",利用条件の設定,,9:00～19:00,ホール・劇場
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷4-5-9,35.65866,139.70895,青山蜂,03-5766-4887,http://aoyama-hachi.net/,,,,,,,,,,,ホール・劇場
渋谷区,初台１丁目,-,東京都渋谷区初台1-33-10,35.67931,139.68501,初台区民会館〔大集会場〕,03-3370-8605,http://www.city.shibuya.tokyo.jp/est/kmkaikan/km_hatsudai.html,100,100,,,折りたたみイス,"演歌・歌謡曲, 演劇, ミュージカル, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 講演会","演歌・歌謡曲, 演劇, ミュージカル, お笑い・寄席・演芸, バレエ",一般に貸出している,,9:00～21:00,ホール・劇場
渋谷区,松涛１丁目,-,東京都渋谷区松濤1-26-4,35.6591,139.69296,タカギクラヴィア 松濤サロン,03-3770-9611,http://takagiklavier.com/salon.html,60,60,,,可動席（スタッキングチェア）,"クラシック, ジャズ, 合唱, 講演会, 展示会","クラシック, ジャズ, 講演会",一般に貸出している,,,ホール・劇場
渋谷区,上原３丁目,-,東京都渋谷区上原3-6-12,35.66791,139.67972,古賀政男音楽博物館〔けやきホール〕,03-3460-9051,http://www.koga.or.jp/index.html,220,220,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, 合唱, 講演会",一般に貸出している,,9:00～21:00,ホール・劇場
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-2-12,35.66641,139.71094,表参道ＧＲＯＵＮＤ,03-5772-8566,http://www.omotesando-ground.jp/,158,,プロセニアム形式,"アリーナ・平土間形式, 扇型形式",可動席（スタッキングチェア）,"ポップス, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, バレエ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,,ホール・劇場
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-1-10,35.67419,139.70683,千駄ヶ谷区民会館〔集会場〕,03-3402-7854,https://www.city.shibuya.tokyo.jp/shisetsu/chiiki/kumin_kaikan/km_sendagaya.html,327,327,プロセニアム形式,,"固定席, 可動席（スタッキングチェア）","演劇, ダンス・パフォーマンス, 合唱, 講演会, 新体操","演劇, ダンス・パフォーマンス, 合唱, 講演会",一般に貸出している,,9:00～21:00,ホール・劇場
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-11-6,35.66903,139.70525,ラフォーレミュージアム六本木,03-3585-7670,公式ページなし,,,,,,,,,,,ホール・劇場
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-20-13,35.67156,139.70459,原宿ストロボカフェ,03-6447-4495,http://www.strobe-cafe.com/harajuku/,,,,,,,,,,,ホール・劇場
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-23-27,35.67245,139.70474,アコスタディオ,03-3408-4541,http://nttbj.itp.ne.jp/0334084541/index.html,60,60,なし,アリーナ・平土間形式,可動席（スタッキングチェア）,"クラシック, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, 講演会, 展示会, -, -, -","クラシック, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会, 展示会, -",利用条件の設定,全員制,9:00～21:00,ホール・劇場
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1-9-12,35.67009,139.70541,Ｔｈｅ Ｓａｄ Ｃａｆｅ ＳＴＵＤＩＯ,0120-438-489 ,http://www.sadcafe.com/studio/,,,,,,,,,,,ホール・劇場
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-12-10,35.66722,139.7086,表参道ヒルズ　スペース オー,03-3497-0293,http://www.omotesandohills.com/event-space/space-o.html,,,,,,,,,,,ホール・劇場
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-28-21,35.66862,139.7067,Ｍｕｓｉｃ Ｒｅｓｔａｕｒａｎｔ Ｌａ Ｄｏｎｎａ,03-5775-6775,http://www.la-donna.jp/,,,,,,,,,,,ホール・劇場
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-1,35.66586,139.70985,カワイ表参道〔コンサートサロン　パウゼ〕,03-3409-2511,http://shop.kawai.jp/omotesando/floor/2f.html,,,,,,,,,,,ホール・劇場
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-44-2,35.6642,139.70743,ラパン・エ・アロ,03-5469-2570,http://www.lapin-et.com/index.html,100,100,オープン形式,シューボックス形式,可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 講演会, 展示会","ポップス, 演歌・歌謡曲, ジャズ, 演劇, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会, 展示会",一般に貸出している,,10:00～22:00,ホール・劇場
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-53-67,35.66289,139.70657,東京ウィメンズプラザ〔ホール〕,03-5467-1711,https://www.twp.metro.tokyo.lg.jp,310,310,オープン形式,扇型形式,固定席,講演会,講演会,利用条件の設定,,9:00～21:00,ホール・劇場
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-18-8,35.66467,139.70285,クロコダイル,03-3499-5205,http://www.crocodile-Live.jp/,100,,,,可動席（スタッキングチェア）,オールジャンル,"ポップス, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,10:00～24:00,ホール・劇場
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-34-14,35.66824,139.70309,hall 60,03-5467-7051,http://hall60.com/index.html,,,,,,,,,,,ホール・劇場
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-10,35.6632,139.70082,シダックス・カルチャーホール,03-3770-1426,http://www.shidax.co.jp/ssv/hall/index.html,160,160,オープン形式,シューボックス形式,固定席,"ポップス, 演歌・歌謡曲, 演劇, 合唱, 映像上映会（試写会など）, 講演会","ポップス, 演歌・歌謡曲, 演劇, 講演会",一般に貸出している,,,ホール・劇場
渋谷区,神南１丁目,-,東京都渋谷区神南1-15-5,35.6637,139.69948,踊心ダンスシアター,03-6416-3352,http://odorigokoro.jp/theater/,,,,,,,,,,,ホール・劇場
渋谷区,神南１丁目,-,東京都渋谷区神南1-15-8,35.6637,139.69948,ｎａｇｏｍｉｘ渋谷,03-6809-0833,http://www.nagomix.co.jp/,,,,,,,,,,,ホール・劇場
渋谷区,神南１丁目,-,東京都渋谷区神南1-21-3,35.66168,139.70056,HMV&BOOKS TOKYO・7Fイベントスペース,03-5784-3270 ,http://www.hmv.co.jp/store/BTK/,,,,,,,,,,,ホール・劇場
渋谷区,神南１丁目,-,東京都渋谷区神南1-3-4,35.6649,139.70114,ＵＮＤＥＲ ＤＥＥＲ ＬＯＵＮＧＥ,03-5728-2655,http://www.under-dl.jp/,60,130,オープン形式,シューボックス形式,,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,,ホール・劇場
渋谷区,神南１丁目,-,東京都渋谷区神南1-6-8,35.66445,139.69948,Ｓｈｉｂｕｙａ ｅｇｇｍａｎ,03-3496-1561,http://www.eggman.jp,,,,,,,,,,,ホール・劇場
渋谷区,神南２丁目,-,東京都渋谷区神南2-2-1,35.66601,139.69644,NHKホール,03-3465-1751,http://www.nhk-sc.or.jp/nhk_hall/index.html,3601,3601,プロセニアム形式,シューボックス形式,固定席,,,,,,ホール・劇場
渋谷区,西原３丁目,-,東京都渋谷区西原3-33-1,35.67104,139.68158,ムジカーザ〔MUSICASA ムジカーザ〕,03-5454-0054,https://www.musicasa.co.jp/,120,120,オープン形式,アリーナ・平土間形式,可動席（スタッキングチェア）,"ポップス, クラシック, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","クラシック, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽",一般に貸出している,,9:00～21:00,ホール・劇場
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4-18-1,35.68029,139.70822,国立能楽堂〔能舞台〕,03-3423-1331,https://www.ntj.jac.go.jp/nou.html,627,627,能舞台,能舞台,固定席,能・狂言,能・狂言,利用条件の設定,能・狂言での使用を優先,10:00～21:00,ホール・劇場
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4-18-1,35.68029,139.70822,国立能楽堂〔研修能舞台〕,03-3423-1331,https://www.ntj.jac.go.jp/nou.html,約100,約100,能舞台,能舞台,桟敷席,能・狂言,能・狂言,利用条件の設定,能・狂言での使用を優先、自主事業での使用が主,10:00～21:00,ホール・劇場
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ケ谷4-25-2,35.68125,139.70595,ＳＹＤホール〔SYDホール〕,03-3405-5555,https://syd.or.jp/facility/sydhall/,280,280,,シューボックス形式,可動席（スタッキングチェア）,"ジャズ, お笑い・寄席・演芸, 講演会",,,,,ホール・劇場
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-24-2,35.68774,139.70221,紀伊國屋サザンシアターＴＡＫＡＳＨＩＭＡＹＡ,03-5361-3321,https://www.kinokuniya.co.jp/c/store/theatre.html,468,468,プロセニアム形式,シューボックス形式,固定席,"演劇, ミュージカル, 能・狂言, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会","演劇, ミュージカル, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:00,ホール・劇場
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-24-55,35.68774,139.70221,LUMINE 0〔スタジオ1〕,03-3352-1146,http://www.lumine.ne.jp/luminezero/,110,110,,"アリーナ・平土間形式, 扇型形式",可動席（スタッキングチェア）,"講演会, 展示会","講演会, 展示会",一般に貸出している,,,ホール・劇場
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-24-55,35.68774,139.70221,LUMINE 0〔スタジオ2〕,03-3352-1146,http://www.lumine.ne.jp/luminezero/,110,110,,"アリーナ・平土間形式, 扇型形式",可動席（スタッキングチェア）,"講演会, 展示会","講演会, 展示会",一般に貸出している,,,ホール・劇場
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷5-24-55,35.68774,139.70221,LUMINE 0〔ホール〕,03-3352-1146,http://www.lumine.ne.jp/luminezero/,368,368,プロセニアム形式,"アリーナ・平土間形式, 扇型形式",ロールバックチェア,"ジャズ, 演劇, 映像上映会（試写会など）, 講演会, 展示会","ポップス, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,,ホール・劇場
渋谷区,代官山町,-,東京都渋谷区代官山町20-20,35.64834,139.70248,晴れたら空に豆まいて,03-5456-8880,http://mameromantic.com/,,,,,,,,,,,ホール・劇場
渋谷区,代々木５丁目,-,東京都渋谷区代々木5-1-15,35.67174,139.68863,YCC 代々木八幡コミュニティセンター〔ホール〕,03-3466-3239,https://www.city.shibuya.tokyo.jp/shisetsu/chiiki/kumin_kaikan/yoyogi_newkumin.html,184,184,プロセニアム形式,,固定席,"演劇, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","演劇, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",利用条件の設定,活動団体の事前登録,9:00～22:00,ホール・劇場
渋谷区,代々木１丁目,-,東京都渋谷区代々木1-31-12,35.68167,139.70247,ＬＩＶＥ ｌａｂｏ代々木,03-5354-3120,http://www.yoyogi-labo.com/,,,,,,,,,,,ホール・劇場
