指標名,観光地,,,,,,,,,,
出典,Tripadvisor,,,,,,,,,,
年次,2023/1/16 取得,,,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件、2021年度：1,925件、2022年度：1922件）",,,,,,,,,,
,,,,,,,,,,,
区,町丁目,エリア,住所,住所,緯度,経度,施設名,ジャンル,星,口コミ数,URL
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,東京都千代田区外神田2-16-2,35.702724,139.767776,明治天皇御臨幸記念碑,記念碑＆像,3,2,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21120475-Reviews-Monument_of_Emperor_Meiji_Gorinko-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,岩本町二丁目,-,東京都千代田区岩本町2丁目5-5,東京都千代田区岩本町2丁目5-5,35.694302,139.775818,お玉ヶ池跡,記念碑＆像,3,4,https://www.tripadvisor.jp/Attraction_Review-g1066443-d18543627-Reviews-Otamagaike_Pond_Site-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋3-5,東京都千代田区飯田橋3-5,35.700996,139.747513,國學院大學開校の地,旧跡,3,12,https://www.tripadvisor.jp/Attraction_Review-g1066443-d11806008-Reviews-Kokugakuin_University_Birth_Place-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田佐久間河岸,-,東京都千代田区神田佐久間町1,東京都千代田区神田佐久間町1,35.696922,139.775482,和泉橋,旧跡 ? 橋,3,7,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16817480-Reviews-Izumi_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋3,東京都千代田区飯田橋3,35.701172,139.747025,日本大学発祥の地,旧跡,3,11,https://www.tripadvisor.jp/Attraction_Review-g1066443-d11946293-Reviews-Nihon_Daigaku_Place_of_Origin-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田神保町三丁目,-,東京都千代田区神田神保町3丁目,東京都千代田区神田神保町3丁目,35.695679,139.753006,俎橋,橋,3,4,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17598514-Reviews-Manaita_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,岩本町二丁目,-,東京都千代田区岩本町2丁目5,東京都千代田区岩本町2丁目5,35.693882,139.776321,繁栄お玉稲荷神社,神社/寺院/教会など,3,6,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17713961-Reviews-Hanei_Otama_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,一ツ橋二丁目,-,東京都千代田区一ツ橋1丁目1,東京都千代田区一ツ橋1丁目1,35.692272,139.758713,東京外国語学校発祥の地,名所・有名スポット ? 記念碑＆像,3,5,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17598729-Reviews-The_Site_of_Tokyo_School_of_Foreign_Languages_Origin-Chiyoda_Tokyo_Tokyo_Prefec.html
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋3-5,東京都千代田区飯田橋3-5,35.701061,139.747238,東京府立第四中学校発祥の地,記念碑＆像,3,3,https://www.tripadvisor.jp/Attraction_Review-g1066443-d20140684-Reviews-The_Birthplace_of_Tokyo_Prefectural_Fourth_Junior_High_School-Chiyoda_Tokyo_Tok.html
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-9,東京都千代田区外神田2-16-9,35.702332,139.76712,大伝馬町八雲神社 鉄製天水桶,名所・有名スポット,3,1,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21283457-Reviews-Odemmacho_Yakumo_Shrine_Iron_Rainwater_Tank-Chiyoda_Tokyo_Tokyo_Prefecture_Kant.html
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,東京都千代田区外神田2-16-2,35.702259,139.774475,だいこく様尊像,神社/寺院/教会など ? 記念碑＆像,3,3,https://www.tripadvisor.jp/Attraction_Review-g1066443-d21120499-Reviews-Daikokusamasonzo-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,一ツ橋二丁目,-,東京都千代田区神田錦町3-28,東京都千代田区神田錦町3-28,35.692883,139.758698,東京大学発祥の地 碑,記念碑＆像,3,17,https://www.tripadvisor.jp/Attraction_Review-g1066443-d10139244-Reviews-University_of_Tokyo_Origin_Place_Monument-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,猿楽町二丁目,-,東京都千代田区猿楽町2-7-1,東京都千代田区猿楽町2-7-1,35.7001,139.757629,ペンキ絵発祥の地 (キカイ湯跡),旧跡,3,6,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12800439-Reviews-First_Public_Bath_s_Painting_Site_of_Kikaiyu-Chiyoda_Tokyo_Tokyo_Prefecture_Kan.html
千代田区,神田小川町二丁目,-,東京都千代田区神田小川町2-14-14,東京都千代田区神田小川町2-14-14,35.695545,139.764725,幸德稲荷神社,神社/寺院/教会など,3,9,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12871875-Reviews-Kotoku_Inari_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,富士見二丁目,-,東京都千代田区富士見2-14-23,東京都千代田区富士見2-14-23,35.697601,139.743103,与謝野鉄幹晶子居住跡,旧跡,3,12,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12152872-Reviews-Yosano_Tekkan_Akiko_Former_Residence_Site-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,岩本町一丁目,-,東京都千代田区岩本町1丁目1,東京都千代田区岩本町1丁目1,35.691093,139.775238,神田八丁堀跡,名所・有名スポット ? 記念碑＆像,2.5,3,https://www.tripadvisor.jp/Attraction_Review-g1066443-d18543628-Reviews-Remains_of_Kanda_Hatchobori-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田錦町二丁目,-,東京都千代田区神田錦町2-9,東京都千代田区神田錦町2-9,35.691261,139.762848,学習院(華族学校)開校の地,記念碑＆像,3,4,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17598709-Reviews-Gakushuin_Noble_School_Original_Location-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田淡路町二丁目,-,東京都千代田区神田淡路町2,東京都千代田区神田淡路町2,35.697159,139.766525,新坂,名所・有名スポット,3,4,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15076450-Reviews-Shinzaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,平河町二丁目,-,東京都千代田区平河町2-6-3,東京都千代田区平河町2-6-3,35.678905,139.739471,黒田清輝旧居跡,旧跡,3,8,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15149569-Reviews-The_Site_of_Seiki_Kuroda_Former_Residence-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,隼町,-,東京都千代田区隼町4三宅坂小公園,東京都千代田区隼町4三宅坂小公園,35.680099,139.745193,広告記念像,記念碑＆像,3,6,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13413896-Reviews-Kokoku_Memorial_Monument-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,九段北一丁目,-,東京都千代田区九段北1-12,東京都千代田区九段北1-12,35.696449,139.748672,硯友社跡,旧跡,3,8,https://www.tripadvisor.jp/Attraction_Review-g1066443-d11931193-Reviews-Kenyusha_Ruins-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2神田明神文化交流館B1F,東京都千代田区外神田2-16-2神田明神文化交流館B1F,35.701923,139.767853,EDOCCO STUDIO,シアター ? イベントスペース ? 体験教室・ワークショップ,4.5,11,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16817692-Reviews-EDOCCO_STUDIO-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,外神田二丁目,-,東京都千代田区外神田2,東京都千代田区外神田2,35.700939,139.768005,明神女坂,名所・有名スポット,3,9,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15068856-Reviews-Myojin_Onnazaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,外神田二丁目,-,東京都千代田区外神田2-5-14,東京都千代田区外神田2-5-14,35.699928,139.768265,湯島坂,名所・有名スポット,3,7,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15068792-Reviews-Yushimazaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,飯田橋三丁目,-,東京都千代田区飯田橋３丁目１１?３０,東京都千代田区飯田橋3丁目11-30,35.702461,139.74556,船河原橋,橋,3,9,https://www.tripadvisor.jp/Attraction_Review-g1066443-d13121652-Reviews-Funagawara_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,飯田橋四丁目,-,東京都千代田区飯田橋4-8,東京都千代田区飯田橋4-8,35.701706,139.745773,東京農業大学開校の地,記念碑＆像,3,12,https://www.tripadvisor.jp/Attraction_Review-g1066443-d11808478-Reviews-The_Place_of_Opening_of_Tokyo_Agricultural_University-Chiyoda_Tokyo_Tokyo_Prefe.html
千代田区,飯田橋一丁目,-,東京都千代田区飯田橋1-7,東京都千代田区飯田橋1-7,35.69902,139.749084,徽章業発祥の地,記念碑＆像,3,12,https://www.tripadvisor.jp/Attraction_Review-g1066443-d11808170-Reviews-Kishogyo_Birthplace-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,霞が関三丁目,-,東京都千代田区霞ケ関3,東京都千代田区霞ケ関3,35.672203,139.748016,三年坂,旧跡 ? 名所・有名スポット,3,8,https://www.tripadvisor.jp/Attraction_Review-g14129569-d15113598-Reviews-Sannenzaka-Kasumigaseki_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-2,東京都千代田区大手町2-2,35.685219,139.766403,道三橋跡,旧跡,2.5,7,https://www.tripadvisor.jp/Attraction_Review-g14129477-d12076957-Reviews-Dosan_Bridge_Remains-Otemachi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,内神田一丁目,-,東京都千代田区内神田1-3,東京都千代田区内神田1-3,35.689472,139.764297,神田橋,橋,3,6,https://www.tripadvisor.jp/Attraction_Review-g1066443-d16817688-Reviews-Kanda_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,四番町,-,東京都千代田区四番町1,東京都千代田区四番町1,35.689495,139.739685,網野菊旧居跡,名所・有名スポット,3,5,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12151975-Reviews-Mark_of_the_Former_House_of_Amino_Kiku-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,隼町,-,東京都千代田区隼町4,東京都千代田区隼町4,35.680187,139.745132,渡辺崋山誕生地,旧跡,2.5,5,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12076097-Reviews-Birthplace_of_Watanabe_Kazan-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,九段南一丁目,-,東京都千代田区九段南1丁目2,東京都千代田区九段南1丁目2,35.694427,139.75351,宝田橋,名所・有名スポット ? 橋,2.5,3,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17484673-Reviews-Takarada_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,六番町,-,東京都千代田区六番町3-5,東京都千代田区六番町3-5,35.687279,139.734848,有島武郎・有島生馬・里見弴旧居跡,名所・有名スポット,2.5,12,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12152030-Reviews-Site_of_the_Family_Home_of_Arishima_Takeo_Ikuma_Satomi_Ton-Chiyoda_Tokyo_Tokyo_.html
千代田区,一番町,-,東京都千代田区神田駿河町1-8,東京都千代田区神田駿河町1-8,35.687168,139.740372,大久保彦左衛門屋敷跡,旧跡,2.5,11,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12073259-Reviews-Okubo_Hikozaemon_Residence_Remains-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田駿河台四丁目,-,東京都千代田区神田駿河台4,東京都千代田区神田駿河台4,35.699078,139.766098,蜀山人 終焉の地,記念碑＆像,3,8,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15080520-Reviews-Shokusanjin_Shuen_no_Ji-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,三番町,-,東京都千代田区六番町3,東京都千代田区六番町3,35.689026,139.740875,池寛旧居跡,旧跡,2.5,3,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17722866-Reviews-Site_of_Kikuchi_Kan_s_Former_Residence-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,三番町,-,東京都千代田区隼町,東京都千代田区隼町,35.691383,139.746353,鍋割坂,歴史散策地区,2.5,3,https://www.tripadvisor.jp/Attraction_Review-g1066443-d20378623-Reviews-Nabewari_zaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,大手町一丁目,-,東京都千代田区内神田1,東京都千代田区内神田1,35.688663,139.766586,鎌倉橋,橋,2.5,13,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12152071-Reviews-Kamakura_Bridge-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,猿楽町二丁目,-,東京都千代田区猿楽町2,東京都千代田区猿楽町2,35.701199,139.756851,小栗坂,名所・有名スポット,2.5,7,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12786819-Reviews-Ogurizaka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,千代田,-,東京都千代田区永田町1-1桜田濠沿い,東京都千代田区永田町1-1桜田濠沿い,35.679794,139.746841,柳の井,旧跡 ? 水辺 ? 名所・有名スポット,2.5,2,https://www.tripadvisor.jp/Attraction_Review-g1066443-d20139404-Reviews-Yanagi_Well-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,六番町,-,東京都千代田区六番町5,東京都千代田区六番町5,35.687145,139.734634,泉鏡花旧居跡,名所・有名スポット,2.5,9,https://www.tripadvisor.jp/Attraction_Review-g1066443-d12152025-Reviews-Mark_of_the_Former_House_of_Izumi_Kyoka-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,外神田四丁目,-,東京都千代田区外神田2丁目16-2,東京都千代田区外神田2丁目16-2,35.700817,139.771591,国学発祥の地碑,記念碑＆像,3,1,https://www.tripadvisor.jp/Attraction_Review-g1066443-d25257938-Reviews-Kokugaku_Birthplace_Monument-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-3-1,東京都千代田区大手町2-3-1,35.686676,139.766449,越前福井藩邸跡,旧跡,2.5,7,https://www.tripadvisor.jp/Attraction_Review-g1066443-d8148836-Reviews-Echizen_Fukui_Domain_Edo_Residence_Remains-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,六番町,-,東京都千代田区六番町3-1グランフォルム六番町,東京都千代田区六番町3-1グランフォルム六番町,35.687569,139.735962,明治女学校跡,旧跡 ? 記念碑＆像,2.5,4,https://www.tripadvisor.jp/Attraction_Review-g1066443-d15758019-Reviews-The_Site_of_Meiji_Girls_School_Foundation-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,飯田橋一丁目,-,東京都千代田区飯田橋1-1,東京都千代田区飯田橋1-1,35.697865,139.750198,東京女子医科大学発祥の地,記念碑＆像,2,5,https://www.tripadvisor.jp/Attraction_Review-g1066443-d11808471-Reviews-The_Birthplace_of_Tokyo_Women_s_Medical_University-Chiyoda_Tokyo_Tokyo_Prefectu.html
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町1-5-2東宝ツインタワービル1F,東京都千代田区有楽町1-5-2東宝ツインタワービル1F,35.674229,139.760071,スモトのおべんと,専門店 ? 名所・有名スポット,3.5,2,https://www.tripadvisor.jp/Attraction_Review-g14129536-d15836784-Reviews-Sumoto_no_Obento-Yurakucho_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
千代田区,神田錦町三丁目,-,東京都千代田区神田錦町3-21,東京都千代田区神田錦町3-21,35.691525,139.761536,10 over 9 神田錦町,名所・有名スポット ? レンタル用品,3.5,2,https://www.tripadvisor.jp/Attraction_Review-g1066443-d17458246-Reviews-10_Over_9_Kandanishikicho-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,銀座四丁目,-,東京都中央区銀座５丁目４２東京メトロ丸ノ内線銀座駅改札内,東京都中央区銀座5丁目42東京メトロ丸ノ内線銀座駅改札内,35.671818,139.764359,銀座歓楽街,主要エリア,4.5,"4,733",https://www.tripadvisor.jp/Attraction_Review-g14129573-d320511-Reviews-Ginza-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,築地六丁目,-,東京都中央区築地4-14-2,東京都中央区築地4-14-2,35.664276,139.770569,築地魚河岸,名所・有名スポット,4,679,https://www.tripadvisor.jp/Attraction_Review-g14129610-d11867754-Reviews-Tsukiji_Fish_Market-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,築地四丁目,-,東京都中央区築地4-16-2,東京都中央区築地4-16-2,35.665394,139.770355,築地場外市場,名所・有名スポット,4,"1,896",https://www.tripadvisor.jp/Attraction_Review-g14129610-d1373675-Reviews-Tsukiji_Jogai_Market-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,築地三丁目,-,東京都中央区築地3‐15‐1,東京都中央区築地3‐15‐1,35.666454,139.772278,築地本願寺,神社/寺院/教会など,4,"1,025",https://www.tripadvisor.jp/Attraction_Review-g14129610-d561503-Reviews-Tsukiji_Hongwanji_Temple-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋一丁目,日八京,東京都中央区日本橋1丁目,東京都中央区日本橋1丁目,35.683941,139.774506,日本橋（橋）,橋,4,788,https://www.tripadvisor.jp/Attraction_Review-g14129589-d1373671-Reviews-Nihonbashi_Bridge-Nihonbashi_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋小網町,-,東京都中央区日本橋小網町16-23,東京都中央区日本橋小網町16-23,35.684147,139.780533,小網神社,神社/寺院/教会など,4,166,https://www.tripadvisor.jp/Attraction_Review-g1066444-d2487479-Reviews-Koami_Shrine-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋蛎殻町二丁目,-,東京都中央区日本橋蛎殻町2-4-1,東京都中央区日本橋蛎殻町2-4-1,35.683662,139.785065,水天宮,神社/寺院/教会など,4,518,https://www.tripadvisor.jp/Attraction_Review-g1066444-d1373673-Reviews-Suitengu_Shrine-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,銀座四丁目,-,東京都中央区銀座４丁目１?２銀座駅,東京都中央区銀座4丁目1-2銀座駅,35.672138,139.763824,並木通り,名所・有名スポット,4,205,https://www.tripadvisor.jp/Attraction_Review-g14129573-d1373681-Reviews-Ginza_Namiki_dori-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋本町三丁目,日八京,東京都中央区日本橋本町3-3,東京都中央区日本橋本町3-3,35.688725,139.773987,町年寄喜多村彦右衛門屋敷跡,記念碑＆像,-,68,https://www.tripadvisor.jp/Attraction_Review-g14129589-d25261810-Reviews-Ruins_of_Kitamura_Hikoemon_s_Residence-Nihonbashi_Chuo_Tokyo_Tokyo_Prefecture_.html
中央区,八重洲一丁目,日八京,東京都中央区八重洲2-1-1,東京都中央区八重洲2-1-1,35.684185,139.772156,ヤンマー米ギャラリー,教育施設,-,186,https://www.tripadvisor.jp/Attraction_Review-g1066444-d25261793-Reviews-Yanmar_Kome_Gallery-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋本町二丁目,日八京,東京都中央区日本橋本町2丁目1-4,東京都中央区日本橋本町2丁目1-4,35.687717,139.774353,本町薬問屋発祥の町碑,記念碑＆像,-,68,https://www.tripadvisor.jp/Attraction_Review-g14129589-d25261813-Reviews-Hommachi_Yakuhoya_Birthplace_Monument-Nihonbashi_Chuo_Tokyo_Tokyo_Prefecture_K.html
中央区,銀座五丁目,-,東京都中央区銀座5‐3‐1,東京都中央区銀座5‐3‐1,35.67252,139.763184,ソニービル,名所・有名スポット,3.5,601,https://www.tripadvisor.jp/Attraction_Review-g14129573-d321140-Reviews-Sony_Building-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,水面調査区,-,東京都中央区築地６丁目１９～勝どき１丁目勝鬨橋,東京都中央区築地6丁目19～勝どき1丁目勝鬨橋,35.66222,139.774918,勝どき橋,橋,4,278,https://www.tripadvisor.jp/Attraction_Review-g14129610-d1373677-Reviews-Kachidoki_Bridge-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-4-1,東京都中央区日本橋2-4-1,35.68108,139.772919,日本橋高島屋S.C.,名所・有名スポット ? デパート,4,157,https://www.tripadvisor.jp/Attraction_Review-g14129589-d12870591-Reviews-Nihombashi_Takashimaya_S_C-Nihonbashi_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,晴海五丁目,-,東京都中央区晴海晴海3‐10‐1,東京都中央区晴海晴海3‐10‐1,35.646206,139.772644,晴海埠頭,名所・有名スポット,4,93,https://www.tripadvisor.jp/Attraction_Review-g14129643-d1373672-Reviews-Harumi_Wharf-Harumi_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,築地六丁目,-,東京都中央区築地6-20-37,東京都中央区築地6-20-37,35.663502,139.771606,波除稲荷神社,神社/寺院/教会など,4,194,https://www.tripadvisor.jp/Attraction_Review-g14129610-d4045009-Reviews-Namiyoke_Inari_Shrine-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋兜町,-,東京都中央区日本橋兜町2-1,東京都中央区日本橋兜町2-1,35.682358,139.779312,東京証券取引所,名所・有名スポット,3.5,121,https://www.tripadvisor.jp/Attraction_Review-g1066444-d553815-Reviews-Tokyo_Stock_Exchange-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋浜町二丁目,-,東京都中央区日本橋浜町2-47-2,東京都中央区日本橋浜町2-47-2,35.686829,139.788467,荒汐部屋,名所・有名スポット,4,32,https://www.tripadvisor.jp/Attraction_Review-g1066444-d8150841-Reviews-Arashio_Beya-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,永代一丁目,-,東京都江東区永代１丁目３１～中央区新川１丁目永代橋,東京都江東区永代1丁目31～中央区新川1丁目永代橋,35.676205,139.787689,永代橋,橋,4,126,https://www.tripadvisor.jp/Attraction_Review-g1066444-d4052305-Reviews-Eitai_Bridge-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,銀座一丁目,-,東京都中央区銀座1-3-131F&2F,東京都中央区銀座1-3-131F&2F,35.675335,139.766113,まるごと高知,名所・有名スポット,4,124,https://www.tripadvisor.jp/Attraction_Review-g14129573-d7272088-Reviews-Marugoto_Kochi-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋人形町二丁目,-,東京都中央区日本橋人形町２丁目４,東京都中央区日本橋人形町2丁目4,35.685188,139.783554,甘酒横丁,名所・有名スポット,4,163,https://www.tripadvisor.jp/Attraction_Review-g1066444-d6901306-Reviews-Amazake_Yokocho-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,銀座五丁目,-,東京都中央区銀座5丁目,東京都中央区銀座5丁目,35.67202,139.763931,すずらん通り,主要エリア,3.5,68,https://www.tripadvisor.jp/Attraction_Review-g14129573-d1373679-Reviews-Suzuran_dori-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,豊海町,-,東京都中央区豊海町,東京都中央区豊海町,35.65361,139.768753,豊海水産埠頭,波止場・遊歩道,4.5,11,https://www.tripadvisor.jp/Attraction_Review-g1066444-d8674359-Reviews-Toyomi_Suisan_Futo-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,銀座七丁目,-,東京都中央区銀座7-9-14,東京都中央区銀座7-9-14,35.668583,139.762665,ヤマハホール,名所・有名スポット ? シアター,4,66,https://www.tripadvisor.jp/Attraction_Review-g14129573-d7257498-Reviews-Yamaha_Hall-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,明石町,-,東京都中央区明石町5-26,東京都中央区明石町5-26,35.668301,139.776779,カトリック築地教会,建築物 ? 神社/寺院/教会など ? 記念碑＆像 ? 大聖堂,4,32,https://www.tripadvisor.jp/Attraction_Review-g1066444-d8364040-Reviews-Roman_Catholic_CHurch_of_St_Joseph_Tsukiji_Parish-Chuo_Tokyo_Tokyo_Prefecture_Ka.html
中央区,銀座四丁目,-,東京都中央区銀座4-12-15,東京都中央区銀座4-12-15,35.669758,139.768051,歌舞伎座タワー,名所・有名スポット ? 建築物,4,76,https://www.tripadvisor.jp/Attraction_Review-g14129573-d10119611-Reviews-Kabukiza_Tower-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2丁目1番1号,東京都中央区日本橋室町2丁目1番1号,35.686817,139.772507,三井住友信託銀行 東京中央支店,名所・有名スポット ? 建築物,4,28,https://www.tripadvisor.jp/Attraction_Review-g1066444-d12870567-Reviews-Sumitomo_Mitsui_Trust_Bank_Tokyo_Central-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋室町一丁目,日八京,東京都中央区日本橋室町1-4-1三越本館正面玄関,東京都中央区日本橋室町1-4-1三越本館正面玄関,35.686001,139.774155,ライオン像,記念碑＆像,4,114,https://www.tripadvisor.jp/Attraction_Review-g1066444-d9722071-Reviews-Statue_of_Lion-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-4-14,東京都中央区日本橋室町2-4-14,35.687305,139.774414,福徳神社,旧跡 ? 神社/寺院/教会など,3.5,198,https://www.tripadvisor.jp/Attraction_Review-g1066444-d7786392-Reviews-Fukutoku_Shrine-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,銀座六丁目,-,東京都中央区銀座６丁目９?２,東京都中央区銀座6丁目9-2,35.67025,139.763855,みゆき通り,名所・有名スポット,3.5,76,https://www.tripadvisor.jp/Attraction_Review-g14129573-d1373680-Reviews-Miyuki_dori-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,銀座七丁目,-,東京都中央区銀座7-7-2DNP銀座ビル1F,東京都中央区銀座7-7-2DNP銀座ビル1F,35.669708,139.762466,ギンザ グラフィックギャラリー,名所・有名スポット,4,16,https://www.tripadvisor.jp/Attraction_Review-g14129573-d5971071-Reviews-Ginza_Graphic_Gallery-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,佃一丁目,-,東京都中央区佃1-1-14,東京都中央区佃1-1-14,35.668045,139.783218,住吉神社,神社/寺院/教会など,3.5,67,https://www.tripadvisor.jp/Attraction_Review-g1066444-d2489722-Reviews-Sumiyoshi_Shrine-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
中央区,京橋三丁目,日八京,東京都中央区京橋3-6-18東京建物京橋ビル2F,東京都中央区京橋3-6-18東京建物京橋ビル2F,35.675312,139.769577,LIXIL ギャラリー,名所・有名スポット,4,29,https://www.tripadvisor.jp/Attraction_Review-g1066444-d7112596-Reviews-LIXIL_Gallery-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html
