指標名,薬局,,,,,,
出典,病院なび,,,,,,
年次,2023/2/12取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件、2022年度：1,323件）",,,,,,
品川区,中延二丁目,-,東京都品川区中延2-15-8,35.60996,139.71151,ヒノミドラッグ 中延店,https://byoinnavi.jp/pharm/206316
品川区,中延一丁目,-,東京都品川区中延1-8-12,35.61201,139.71160,竹岡ドラック,https://byoinnavi.jp/pharm/206314
新宿区,新宿一丁目,-,東京都新宿区新宿1-8-1,35.68864,139.71177,マミー薬局新宿御苑店,https://byoinnavi.jp/pharm/205743
品川区,中延四丁目,-,東京都品川区中延4-4-4,35.60613,139.71184,竜雲堂漢薬店,https://byoinnavi.jp/pharm/206321
渋谷区,恵比寿一丁目,-,東京都渋谷区恵比寿1-11-6 恵比寿山仁ビル1F,35.64634,139.71188,城南薬局,https://byoinnavi.jp/pharm/201231
品川区,中延三丁目,-,東京都品川区中延3-8-9,35.60762,139.71188,小塚仁成堂薬局,https://byoinnavi.jp/pharm/206320
品川区,中延六丁目,-,東京都品川区中延6-9-16,35.60087,139.71205,済生堂薬局,https://byoinnavi.jp/pharm/206329
品川区,中延三丁目,-,東京都品川区中延3-7-7,35.60842,139.71206,ニコニコ薬局中延店,https://byoinnavi.jp/pharm/206318
港区,南青山五丁目,-,東京都港区南青山5-6-2 青山菊正ビル1階,35.66391,139.71206,青山大師堂薬局,https://byoinnavi.jp/pharm/162601
渋谷区,神宮前四丁目,-,東京都渋谷区神宮前4-6-7,35.66827,139.71213,原宿薬局,https://byoinnavi.jp/pharm/201213
品川区,平塚三丁目,-,東京都品川区平塚3-4-1,35.61609,139.71215,スリーアイ薬局戸越銀座店,https://byoinnavi.jp/pharm/206416
品川区,東中延二丁目,-,東京都品川区東中延2-6-1,35.60844,139.71223,サラダ薬局東なかのぶ支店,https://byoinnavi.jp/pharm/206391
品川区,中延四丁目,-,東京都品川区東中延2-10-13,35.60611,139.71238,成光堂薬局,https://byoinnavi.jp/pharm/206390
品川区,東中延二丁目,-,東京都品川区東中延2-7-16,35.60726,139.71238,トモズ 中延店,https://byoinnavi.jp/pharm/206319
新宿区,新宿一丁目,-,東京都新宿区新宿1-19-6,35.68963,139.71243,薬ヒグチ新宿御苑前店,https://byoinnavi.jp/pharm/205742
品川区,荏原二丁目,-,東京都品川区荏原2-3-4,35.61750,139.71272,すずらん薬局戸越店,https://byoinnavi.jp/pharm/206350
品川区,中延四丁目,-,東京都品川区中延4-5-10,35.60543,139.71297,薬局ユニファー,https://byoinnavi.jp/pharm/275873
新宿区,富久町,-,東京都新宿区富久町17-2,35.69260,139.71325,アイセイ薬局 富久店,https://byoinnavi.jp/pharm/264603
品川区,平塚二丁目,-,東京都品川区平塚2-18-6,35.61586,139.71340,日生薬局戸越銀座店,https://byoinnavi.jp/pharm/206415
品川区,東中延一丁目,-,東京都品川区東中延1-1-3メゾンあさひ,35.61238,139.71342,戸越薬局,https://byoinnavi.jp/pharm/206389
品川区,西五反田四丁目,-,東京都品川区西五反田4-30-6,35.62606,139.71342,いずみ薬局,https://byoinnavi.jp/pharm/206437
渋谷区,恵比寿四丁目,-,東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスオフィス棟 B1階,35.64238,139.71342,トモズ 恵比寿ガーデンプレイス店,https://byoinnavi.jp/pharm/201237
港区,南青山三丁目,-,東京都港区南青山3-13-22,35.66574,139.71344,(株)善光堂薬局,https://byoinnavi.jp/pharm/202550
新宿区,余丁町,-,東京都新宿区余丁町8-6,35.69757,139.71346,レジーナ薬局 東新宿店,https://byoinnavi.jp/pharm/205661
新宿区,余丁町,-,東京都新宿区余丁町6-21,35.69689,139.71353,コスモドラッグ,https://byoinnavi.jp/pharm/205660
品川区,西五反田五丁目,-,東京都品川区西五反田5-10-6,35.62567,139.71423,不動前ドラックストア,https://byoinnavi.jp/pharm/206438
品川区,平塚二丁目,-,東京都品川区平塚2-17-13,35.61513,139.71443,サンドラッグ戸越銀座駅前店,https://byoinnavi.jp/pharm/206414
港区,北青山三丁目,-,東京都港区北青山3-3-13 共和五番館1階,35.66785,139.71445,ニホンドウ漢方ブティック 青山店,https://byoinnavi.jp/pharm/162614
新宿区,富久町,-,東京都新宿区富久町13-1,35.69234,139.71463,フラワー薬局,https://byoinnavi.jp/pharm/205774
品川区,上大崎二丁目,-,東京都品川区上大崎2-26-5,35.63417,139.71470,薬ヒグチ目黒駅前店,https://byoinnavi.jp/pharm/206267
港区,北青山三丁目,-,東京都港区北青山3-3-10 紀文堂ビル1階,35.66815,139.71484,薬局青山,https://byoinnavi.jp/pharm/162620
品川区,平塚一丁目,-,東京都品川区平塚1-9-1,35.61551,139.71491,川崎薬局,https://byoinnavi.jp/pharm/206413
港区,南青山三丁目,-,東京都港区南青山3-8-40,35.66749,139.71507,スギ薬局南青山店,https://byoinnavi.jp/pharm/202551
品川区,西五反田五丁目,-,東京都品川区西五反田5-9-6,35.62524,139.71514,不動前グリーンファーマシー,https://byoinnavi.jp/pharm/206439
渋谷区,恵比寿四丁目,-,東京都渋谷区恵比寿4-27-5,35.64562,139.71521,有限会社レメディーズ リカリ薬局,https://byoinnavi.jp/pharm/201238
新宿区,西早稲田三丁目,-,東京都新宿区西早稲田3-12-1,35.70977,139.71533,新星堂薬局,https://byoinnavi.jp/pharm/205736
新宿区,余丁町,-,東京都新宿区余丁町9-4,35.69785,139.71540,抜弁天薬局,https://byoinnavi.jp/pharm/205662
渋谷区,恵比寿三丁目,-,東京都渋谷区恵比寿3-29-17,35.64345,139.71542,優美堂,https://byoinnavi.jp/pharm/201234
渋谷区,恵比寿四丁目,-,東京都渋谷区恵比寿4-27-7,35.64558,139.71569,アダチ薬局,https://byoinnavi.jp/pharm/201236
渋谷区,広尾一丁目,-,東京都渋谷区広尾1-11-5朝日広尾マンション201,35.64830,139.71573,アサヒ薬局,https://byoinnavi.jp/pharm/201254
品川区,西大井五丁目,-,東京都品川区西大井5-5-3,35.59957,139.71575,薬局ケイファーマシー,https://byoinnavi.jp/pharm/206423
港区,北青山二丁目,-,東京都港区北青山2-12-5,35.67114,139.71581,ナチュラルローソンクオール薬局北青山二丁目店,https://byoinnavi.jp/pharm/202533
新宿区,若松町,-,東京都新宿区若松町20-3,35.70111,139.71584,戸山薬局,https://byoinnavi.jp/pharm/205804
品川区,上大崎二丁目,-,東京都品川区上大崎2-16-9,35.63407,139.71588,スズハル堂薬店,https://byoinnavi.jp/pharm/206266
新宿区,若松町,-,東京都新宿区若松町22-23,35.70111,139.71631,コクミン調剤薬局,https://byoinnavi.jp/pharm/205805
品川区,豊町六丁目,-,東京都品川区豊町6-6-6,35.60611,139.71650,サラダ薬局豊町支店,https://byoinnavi.jp/pharm/206348
品川区,平塚一丁目,-,東京都品川区平塚1-6-14,35.61546,139.71650,光伸堂漢方薬局,https://byoinnavi.jp/pharm/206412
新宿区,若松町,-,東京都新宿区若松町23-10,35.70104,139.71654,紫山堂薬局若松町店,https://byoinnavi.jp/pharm/205806
品川区,上大崎二丁目,-,東京都品川区上大崎2-12-2,35.63495,139.71655,ゆりの木薬局目黒店,https://byoinnavi.jp/pharm/206263
品川区,上大崎三丁目,-,東京都品川区上大崎3-1-1,35.63342,139.71668,葵薬局目黒駅前店,https://byoinnavi.jp/pharm/206268
品川区,西五反田六丁目,-,東京都品川区西五反田6-15-7,35.62026,139.71669,ミユキ薬局,https://byoinnavi.jp/pharm/206440
品川区,平塚一丁目,-,東京都品川区平塚1-3-6,35.61701,139.71685,(有)三八,https://byoinnavi.jp/pharm/206411
品川区,上大崎二丁目,-,東京都品川区上大崎2-15-14,35.63402,139.71687,高木薬局,https://byoinnavi.jp/pharm/206265
新宿区,若松町,-,東京都新宿区若松町24-10,35.70085,139.71695,第二新宿調剤薬局,https://byoinnavi.jp/pharm/205807
品川区,西五反田三丁目,-,東京都品川区西五反田3-6-6,35.62812,139.71696,薬局しなやく,https://byoinnavi.jp/pharm/206435
港区,北青山二丁目,-,東京都港区北青山2-7-20 第2猪瀬ビル1階,35.67067,139.71703,あすか薬局,https://byoinnavi.jp/pharm/162605
新宿区,若松町,-,東京都新宿区若松町24-10,35.70086,139.71707,ワカマツ薬局,https://byoinnavi.jp/pharm/271840
港区,北青山二丁目,-,東京都港区北青山2-7-22,35.67085,139.71708,(有)慶応堂鈴木薬局,https://byoinnavi.jp/pharm/202534
品川区,戸越六丁目,-,東京都品川区戸越6-6-2,35.60871,139.71715,ハーモニー薬局,https://byoinnavi.jp/pharm/206343
港区,南青山二丁目,-,東京都港区南青山2-26-36,35.66997,139.71719,青山薬局 外苑前,https://byoinnavi.jp/pharm/259276
品川区,戸越三丁目,-,東京都品川区戸越3-7-7,35.61270,139.71728,リボン薬局,https://byoinnavi.jp/pharm/206333
新宿区,戸山一丁目,-,東京都新宿区戸山1-2-6,35.70146,139.71751,新宿調剤薬局,https://byoinnavi.jp/pharm/205646
港区,南青山七丁目,-,東京都港区南青山7-14-8,35.65648,139.71781,サンドラッグ広尾薬局,https://byoinnavi.jp/pharm/202552
品川区,戸越五丁目,-,東京都品川区戸越5-18-8,35.60902,139.71783,Bケアセイジョー戸越公園駅前,https://byoinnavi.jp/pharm/206336
港区,南青山七丁目,-,東京都港区南青山7-14-7小寺ビル1F,35.65659,139.71784,広尾調剤薬局,https://byoinnavi.jp/pharm/162618
港区,南青山七丁目,-,東京都港区南青山7-14-7 西川ビル1階,35.65659,139.71784,日生薬局 広尾店,https://byoinnavi.jp/pharm/162613
品川区,戸越六丁目,-,東京都品川区戸越6-8-21,35.60758,139.71786,SAKURAドラッグ戸越公園店,https://byoinnavi.jp/pharm/206344
品川区,戸越五丁目,-,東京都品川区戸越5-19-13,35.60860,139.71789,日本調剤戸越公園薬局,https://byoinnavi.jp/pharm/206337
港区,南青山七丁目,-,東京都港区南青山7-14-6 本間ビル1階,35.65673,139.71789,広尾中央薬局,https://byoinnavi.jp/pharm/162617
港区,南青山七丁目,-,東京都港区南青山7-14-5 石山ビル1・2階,35.65684,139.71793,子安調剤薬局,https://byoinnavi.jp/pharm/162609
品川区,上大崎二丁目,-,東京都品川区上大崎2-13-32,35.63450,139.71793,(株)一本堂 目黒店,https://byoinnavi.jp/pharm/206264
品川区,戸越六丁目,-,東京都品川区戸越6-19-12,35.60675,139.71809,ヒノミドラッグ 戸越南口店,https://byoinnavi.jp/pharm/206342
品川区,戸越五丁目,-,東京都品川区戸越5-6-11,35.60995,139.71810,イトウ薬店,https://byoinnavi.jp/pharm/206338
新宿区,河田町,-,東京都新宿区河田町11-7,35.69907,139.71815,カワダ薬局,https://byoinnavi.jp/pharm/205771
品川区,二葉四丁目,-,東京都品川区二葉4-14-10,35.60237,139.71816,ふたば薬局,https://byoinnavi.jp/pharm/206449
品川区,戸越一丁目,-,東京都品川区戸越1-1-9,35.61776,139.71818,サラダ薬局戸越支店,https://byoinnavi.jp/pharm/206330
品川区,豊町五丁目,-,東京都品川区豊町5-1-14,35.60633,139.71820,木の葉薬局,https://byoinnavi.jp/pharm/260649
新宿区,河田町,-,東京都新宿区河田町11-8,35.69913,139.71825,日生薬局若松河田駅前店,https://byoinnavi.jp/pharm/205772
品川区,上大崎三丁目,-,東京都品川区上大崎3-3-5,35.63402,139.71825,目黒調剤薬局,https://byoinnavi.jp/pharm/206269
品川区,西大井四丁目,-,東京都品川区西大井4-18-18,35.59431,139.71829,タルモト薬局,https://byoinnavi.jp/pharm/206420
品川区,戸越五丁目,-,東京都品川区戸越5-6-6,35.61029,139.71845,セイジョー薬局戸越公園店,https://byoinnavi.jp/pharm/206340
品川区,戸越五丁目,-,東京都品川区戸越5-6-5アミューズ1F101,35.61034,139.71847,公園通り薬局,https://byoinnavi.jp/pharm/206339
品川区,西五反田七丁目,-,東京都品川区西五反田7-18-2,35.62338,139.71850,(株)ケイポートドラッグマート 本部,https://byoinnavi.jp/pharm/206441
新宿区,河田町,-,東京都新宿区河田町11-11,35.69903,139.71852,ミキ薬局河田町店,https://byoinnavi.jp/pharm/205770
品川区,二葉四丁目,-,東京都品川区二葉4-16-5,35.60198,139.71857,エンゼル薬局二葉店,https://byoinnavi.jp/pharm/206451
品川区,二葉四丁目,-,東京都品川区二葉4-16-4,35.60218,139.71859,(株)いちや薬局 品川二葉店,https://byoinnavi.jp/pharm/206450
品川区,戸越四丁目,-,東京都品川区戸越4丁目8番7号,35.61105,139.71876,戸越薬局 戸越店,https://byoinnavi.jp/pharm/206334
新宿区,若松町,-,東京都新宿区若松町9-12,35.69923,139.71880,ミキ薬局若松町店,https://byoinnavi.jp/pharm/205812
新宿区,市谷台町,-,東京都新宿区市谷台町9-3,35.69400,139.71884,村田薬局,https://byoinnavi.jp/pharm/205603
港区,西麻布四丁目,-,東京都港区西麻布4-18-16,35.65813,139.71884,シミズファーマシー,https://byoinnavi.jp/pharm/162588
新宿区,若松町,-,東京都新宿区若松町9-7,35.69886,139.71886,プラザ薬局女子医大通り店,https://byoinnavi.jp/pharm/205814
新宿区,若松町,-,東京都新宿区若松町9-6,35.69882,139.71893,ミキ薬局女子医大通り店,https://byoinnavi.jp/pharm/205813
新宿区,若松町,-,東京都新宿区若松町3-3 井関ビル,35.69871,139.71895,トモズ 女子医大前2号店,https://byoinnavi.jp/pharm/254544
港区,南青山二丁目,-,東京都港区南青山2-22-15,35.67062,139.71896,五行堂,https://byoinnavi.jp/pharm/202548
新宿区,若松町,-,東京都新宿区若松町3-2,35.69863,139.71898,トモズ 女子医大前1号店,https://byoinnavi.jp/pharm/205808
品川区,西五反田七丁目,-,東京都品川区西五反田7-22-17,35.62191,139.71932,(株)インターナショナルホームメディカル,https://byoinnavi.jp/pharm/206442
新宿区,西早稲田一丁目,-,東京都新宿区西早稲田1-18-7,35.71129,139.71932,和泉薬局,https://byoinnavi.jp/pharm/205735
新宿区,信濃町,-,東京都新宿区信濃町11,35.68405,139.71946,シナノ薬局,https://byoinnavi.jp/pharm/205798
品川区,西五反田二丁目,-,東京都品川区西五反田2-31-6-102,35.62482,139.71955,イシダ薬局,https://byoinnavi.jp/pharm/206433
渋谷区,広尾五丁目,-,東京都渋谷区広尾5-19-19,35.64881,139.71961,原調剤薬局,https://byoinnavi.jp/pharm/201257
新宿区,河田町,-,東京都新宿区河田町3-10,35.69603,139.71971,日生薬局河田町店,https://byoinnavi.jp/pharm/205773
品川区,豊町四丁目,-,東京都品川区豊町4-3-20,35.60690,139.71971,ゆたか調剤薬局,https://byoinnavi.jp/pharm/206346
品川区,戸越五丁目,-,東京都品川区戸越5-8-3 ハイストーンヴィラ1F,35.61006,139.71974,ひすい調剤薬局,https://byoinnavi.jp/pharm/206341
新宿区,若松町,-,東京都新宿区若松町31-4,35.69992,139.71991,コスモス薬局,https://byoinnavi.jp/pharm/205809
新宿区,四谷三丁目,-,東京都新宿区四谷3-9,35.68771,139.71994,サンドラッグ四谷三丁目店,https://byoinnavi.jp/pharm/205797
品川区,西五反田二丁目,-,東京都品川区西五反田2-14-2,35.62653,139.71996,イシダ薬局西五反田店,https://byoinnavi.jp/pharm/206432
港区,南青山二丁目,-,東京都港区南青山2-13-10,35.67061,139.72017,レジーナ薬局青山店,https://byoinnavi.jp/pharm/202547
新宿区,喜久井町,-,東京都新宿区喜久井町46-4,35.70458,139.72021,(株)松翔,https://byoinnavi.jp/pharm/205737
新宿区,住吉町,-,東京都新宿区住吉町11-23,35.69473,139.72038,(有)市ヶ谷ファマシー あけぼの橋通り店,https://byoinnavi.jp/pharm/205656
新宿区,馬場下町,-,東京都新宿区馬場下町61吉村ビル1F,35.70617,139.72043,吉村薬局,https://byoinnavi.jp/pharm/205740
品川区,戸越一丁目,-,東京都品川区戸越1-19-15,35.61490,139.72045,ドラッグストア・スマイル戸越銀座店,https://byoinnavi.jp/pharm/206332
新宿区,左門町,-,東京都新宿区左門町20四谷メディカルビル1F,35.68467,139.72049,株式会社ファーマみらい 共創未来 左門町薬局,https://byoinnavi.jp/pharm/205815
渋谷区,広尾四丁目,-,東京都渋谷区広尾4-1-12,35.65430,139.72053,(株)清水薬局 広尾ガーデンヒルズ店,https://byoinnavi.jp/pharm/201255
渋谷区,広尾五丁目,-,東京都渋谷区広尾5-3-16,35.65034,139.72057,ヒノミ薬局広尾2号店,https://byoinnavi.jp/pharm/201262
渋谷区,広尾五丁目,-,東京都渋谷区広尾5-16-2,35.65010,139.72059,どらっぐぱぱす広尾店,https://byoinnavi.jp/pharm/201256
品川区,戸越一丁目,-,東京都品川区戸越1-19-14,35.61472,139.72063,サンドラッグ戸越銀座店,https://byoinnavi.jp/pharm/206331
渋谷区,恵比寿三丁目,-,東京都渋谷区恵比寿3-39-7,35.64374,139.72074,山田薬局,https://byoinnavi.jp/pharm/201235
品川区,二葉三丁目,-,東京都品川区二葉3-13-9,35.60288,139.72078,西大井薬局,https://byoinnavi.jp/pharm/252828
新宿区,南元町,-,東京都新宿区南元町19,35.67946,139.72094,ヒカリ薬局信濃町店,https://byoinnavi.jp/pharm/205799
渋谷区,広尾五丁目,-,東京都渋谷区広尾5-3-14,35.65045,139.72095,ファルマルシェ薬局広尾,https://byoinnavi.jp/pharm/201261
新宿区,住吉町,-,東京都新宿区住吉町2-11,35.69200,139.72098,くすりの福太郎曙橋店,https://byoinnavi.jp/pharm/205657
新宿区,住吉町,-,東京都新宿区住吉町9-4,35.69411,139.72099,くすりセイジョー曙橋店,https://byoinnavi.jp/pharm/205659
新宿区,早稲田町,-,東京都新宿区早稲田町67,35.70602,139.72110,(株)サクラドラッグ,https://byoinnavi.jp/pharm/205818
港区,南青山二丁目,-,東京都港区南青山2-10-9 青山田中ビル1階,35.67087,139.72110,青山薬局,https://byoinnavi.jp/pharm/162602
品川区,西五反田二丁目,-,東京都品川区西五反田2-9-7,35.62700,139.72118,五反田調剤薬局,https://byoinnavi.jp/pharm/206434
渋谷区,広尾五丁目,-,東京都渋谷区広尾5-3-11,35.65066,139.72152,(株)ドラッグ・オゾン 広尾店,https://byoinnavi.jp/pharm/201260
新宿区,若松町,-,東京都新宿区若松町6-11,35.69965,139.72152,ノーブル薬局,https://byoinnavi.jp/pharm/205810
新宿区,住吉町,-,東京都新宿区住吉町2-18ウィン四谷106,35.69208,139.72155,あけぼの薬局,https://byoinnavi.jp/pharm/205658
新宿区,早稲田町,-,東京都新宿区早稲田町66,35.70609,139.72171,フクロ薬局早稲田店,https://byoinnavi.jp/pharm/205817
渋谷区,広尾五丁目,-,東京都渋谷区広尾5-25-8,35.64771,139.72179,渋谷調剤薬局,https://byoinnavi.jp/pharm/201259
港区,白金六丁目,-,東京都港区白金6-21-7 第一東幸ビル1階,35.64399,139.72185,白金中央薬局,https://byoinnavi.jp/pharm/162570
新宿区,若松町,-,東京都新宿区若松町6-16,35.69947,139.72188,日生薬局牛込店,https://byoinnavi.jp/pharm/205811
新宿区,須賀町,-,東京都新宿区須賀町1サンコート四谷1F,35.68746,139.72203,サン薬局,https://byoinnavi.jp/pharm/252752
品川区,西大井一丁目,-,東京都品川区西大井1-1-2,35.60117,139.72211,大正堂薬局品川店,https://byoinnavi.jp/pharm/206417
港区,南青山二丁目,-,東京都港区南青山2-7-27,35.67101,139.72218,(有)カプセルマーケッツ,https://byoinnavi.jp/pharm/202549
渋谷区,広尾五丁目,-,東京都渋谷区広尾5-25-11,35.64759,139.72230,広尾調剤薬局,https://byoinnavi.jp/pharm/201258
品川区,西大井一丁目,-,東京都品川区西大井1-4-25,35.60207,139.72235,アイセイ薬局 西大井店,https://byoinnavi.jp/pharm/264695
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町518,35.70805,139.72251,けやき薬局,https://byoinnavi.jp/pharm/205819
新宿区,住吉町,-,東京都新宿区住吉町1-16,35.69226,139.72261,どらっぐぱぱす曙橋店,https://byoinnavi.jp/pharm/205655
港区,南麻布四丁目,-,東京都港区南麻布4-1-29 広尾ガーデン1階,35.65012,139.72267,子安薬局 広尾ガーデン店,https://byoinnavi.jp/pharm/162586
新宿区,早稲田町,-,東京都新宿区早稲田町12,35.70550,139.72275,(有)花梨堂薬局,https://byoinnavi.jp/pharm/205816
品川区,豊町一丁目,-,東京都品川区豊町1-4-13,35.61427,139.72276,サラダ薬局,https://byoinnavi.jp/pharm/206345
品川区,西五反田一丁目,-,東京都品川区西五反田1-23-9,35.62339,139.72276,ヒコサカ薬局,https://byoinnavi.jp/pharm/206430
品川区,西大井四丁目,-,東京都品川区西大井4-4-6,35.59791,139.72288,マツオカ薬品,https://byoinnavi.jp/pharm/206422
品川区,西五反田一丁目,-,東京都品川区西五反田1-4-8,35.62532,139.72307,ポッポ堂薬局 五反田店,https://byoinnavi.jp/pharm/277720
品川区,東五反田五丁目,-,東京都品川区東五反田5-28-10,35.62728,139.72314,パームヒルズ漢方薬局,https://byoinnavi.jp/pharm/206405
品川区,西五反田一丁目,-,東京都品川区西五反田1-17-7,35.62402,139.72319,薬ヒグチ五反田店,https://byoinnavi.jp/pharm/206429
港区,西麻布四丁目,-,東京都港区西麻布4-3-8,35.65779,139.72324,マープル薬局,https://byoinnavi.jp/pharm/162624
港区,西麻布四丁目,-,東京都港区西麻布4-2-9,35.65807,139.72324,鈴木薬局,https://byoinnavi.jp/pharm/202587
品川区,二葉二丁目,-,東京都品川区二葉2-22-4,35.60389,139.72331,コスモス薬局,https://byoinnavi.jp/pharm/206448
港区,南麻布五丁目,-,東京都港区南麻布5-16-10,35.65131,139.72333,(株)フォークチーズ,https://byoinnavi.jp/pharm/202555
品川区,西五反田一丁目,-,東京都品川区西五反田1-11-1,35.62456,139.72351,つくし薬局,https://byoinnavi.jp/pharm/206428
品川区,東五反田五丁目,-,東京都品川区東五反田5-27-5,35.62706,139.72357,ケイポート 五反田駅前店,https://byoinnavi.jp/pharm/206404
品川区,東五反田五丁目,-,東京都品川区東五反田5-27-3,35.62718,139.72374,日生薬局五反田駅前店,https://byoinnavi.jp/pharm/206403
港区,白金台三丁目,-,東京都港区白金台3-16-13白金台ウスイビル1F,35.63663,139.72380,白金台鈴薬局,https://byoinnavi.jp/pharm/162565
品川区,西五反田一丁目,-,東京都品川区西五反田1-6-3,35.62536,139.72390,葵薬局五反田店,https://byoinnavi.jp/pharm/206431
品川区,東五反田一丁目,-,東京都品川区東五反田1-26-2,35.62618,139.72393,メディプラスマツキヨ都営五反田店,https://byoinnavi.jp/pharm/206396
港区,白金台三丁目,-,東京都港区白金台3-15-6 マスレンビル1階,35.63657,139.72441,調剤薬局 ツルハドラッグ 白金台店,https://byoinnavi.jp/pharm/162574
新宿区,原町一丁目,-,東京都新宿区原町1-55,35.70088,139.72464,ひかり薬局・薬膳新宿原町,https://byoinnavi.jp/pharm/205739
品川区,東五反田一丁目,-,東京都品川区東五反田1-12-13,35.62712,139.72483,親切堂薬局,https://byoinnavi.jp/pharm/206392
品川区,二葉一丁目,-,東京都品川区二葉1-3-28,35.60640,139.72504,あさひ薬局二葉店,https://byoinnavi.jp/pharm/206446
品川区,大崎二丁目,-,東京都品川区大崎2-7-18,35.61698,139.72536,三光薬局大崎店,https://byoinnavi.jp/pharm/206297
港区,南青山一丁目,-,東京都港区南青山1-1-1新青山ビルヂング西館1F,35.67273,139.72548,三田薬局,https://byoinnavi.jp/pharm/162619
品川区,東五反田四丁目,-,東京都品川区東五反田4-11-12,35.62994,139.72556,池田山薬局,https://byoinnavi.jp/pharm/206400
新宿区,市谷柳町,-,東京都新宿区市谷柳町37,35.69878,139.72570,くすりの福太郎市谷柳町店,https://byoinnavi.jp/pharm/205604
品川区,大井五丁目,-,東京都品川区大井5-14-2,35.59896,139.72575,あおぞら薬局,https://byoinnavi.jp/pharm/206310
品川区,大崎二丁目,-,東京都品川区大崎2-7-15,35.61669,139.72579,南勢薬局,https://byoinnavi.jp/pharm/206296
品川区,東五反田四丁目,-,東京都品川区東五反田4-11-6 クレスト五反田ビル1F,35.63035,139.72579,博芳堂薬局,https://byoinnavi.jp/pharm/206401
港区,白金台四丁目,-,東京都港区白金台4-7-7 姫路マッチ白金台ビル201,35.63796,139.72581,白金台調剤薬局,https://byoinnavi.jp/pharm/162567
港区,西麻布三丁目,-,東京都港区西麻布3-20-14 梅田ビル1階,35.66021,139.72584,梅田薬局,https://byoinnavi.jp/pharm/162582
品川区,東五反田四丁目,-,東京都品川区東五反田4-11-10,35.62997,139.72588,さくら薬局東五反田店,https://byoinnavi.jp/pharm/206399
新宿区,原町一丁目,-,東京都新宿区原町1-21,35.70000,139.72620,ニュードラッグ 柳町店,https://byoinnavi.jp/pharm/205738
品川区,東五反田四丁目,-,東京都品川区東五反田4-8-20,35.63037,139.72635,日生薬局五反田店,https://byoinnavi.jp/pharm/206402
品川区,東五反田一丁目,-,東京都品川区東五反田1-21-10,35.62592,139.72641,ヒノミドラッグ 東五反田店,https://byoinnavi.jp/pharm/206393
港区,南青山一丁目,-,東京都港区南青山1-15-2,35.67013,139.72642,青山堂,https://byoinnavi.jp/pharm/202546
港区,西麻布三丁目,-,東京都港区西麻布3-2-20,35.65964,139.72654,けやき坂薬局,https://byoinnavi.jp/pharm/181025
港区,西麻布三丁目,-,東京都港区西麻布3-1-19,35.66046,139.72668,霞町薬局,https://byoinnavi.jp/pharm/202585
品川区,西品川二丁目,-,東京都品川区西品川2-6-4,35.61402,139.72678,みつぎ薬局,https://byoinnavi.jp/pharm/206443
品川区,東五反田一丁目,-,東京都品川区東五反田1-23-8,35.62638,139.72686,コスモス薬局五反田店,https://byoinnavi.jp/pharm/206395
品川区,二葉一丁目,-,東京都品川区二葉1-14-25,35.60592,139.72686,ドラッグストアいわい大井町店,https://byoinnavi.jp/pharm/206445
新宿区,四谷二丁目,-,東京都新宿区四谷2-1,35.68623,139.72690,くすりセイジョー四谷店,https://byoinnavi.jp/pharm/205794
品川区,東五反田一丁目,-,東京都品川区東五反田1-22-6,35.62584,139.72702,ケイポート 五反田八ツ山通り店,https://byoinnavi.jp/pharm/206394
品川区,大崎三丁目,-,東京都品川区大崎3-6-21,35.61953,139.72705,大崎薬局,https://byoinnavi.jp/pharm/206299
新宿区,弁天町,-,東京都新宿区弁天町87-2,35.70177,139.72707,ミキ薬局牛込店,https://byoinnavi.jp/pharm/205597
港区,南麻布四丁目,-,東京都港区南麻布4-11-30,35.64728,139.72715,ゆりの木薬局 南麻布店,https://byoinnavi.jp/pharm/284423
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町545,35.70721,139.72738,ウラノ薬局,https://byoinnavi.jp/pharm/205820
港区,西麻布三丁目,-,東京都港区西麻布3-2-22,35.65846,139.72739,西麻布薬局,https://byoinnavi.jp/pharm/162581
港区,西麻布三丁目,-,東京都港区西麻布3-2-16,35.65917,139.72753,田辺薬局西麻布欅店,https://byoinnavi.jp/pharm/202586
港区,元麻布三丁目,-,東京都港区元麻布3-1-38 第5谷澤ビル7A,35.65841,139.72772,ヒルサイド薬局,https://byoinnavi.jp/pharm/162596
品川区,大崎二丁目,-,東京都品川区大崎2-9-1,35.61651,139.72777,不二屋薬局,https://byoinnavi.jp/pharm/206298
新宿区,四谷一丁目,-,東京都新宿区四谷1-20-2,35.68696,139.72789,希望堂薬局四谷店,https://byoinnavi.jp/pharm/205791
新宿区,市谷山伏町,-,東京都新宿区市谷山伏町2-2,35.69989,139.72802,パール薬局,https://byoinnavi.jp/pharm/205602
新宿区,四谷一丁目,-,東京都新宿区四谷1-9,35.68600,139.72829,(有)ナカ薬局,https://byoinnavi.jp/pharm/205793
品川区,大井五丁目,-,東京都品川区大井5-5-29,35.59950,139.72834,メイプル薬局品川店,https://byoinnavi.jp/pharm/206312
港区,六本木七丁目,六本木,東京都港区六本木7-3-12,35.66595,139.72844,イスクラ薬局原宿店,https://byoinnavi.jp/pharm/202575
