指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2023/3/21,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,（2020年度：340件、2021年度：343件、2022年度：344件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用金額,URL
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トーセン宇田川ビル6F /7F,35.662389,139.697912,R Lounge[HipHop House Techno Allmix Reggae R&B Electronic EDM TOP40 ],クラブ,House ･ Techno ･ Electronic ･ EDM ･ Allmix ･ Reggae ･ R&B ･ HipHop ･ TOP40,03-5459-7988,※イベントにより異なる,不定,-,"3,000円",http://rlounge.jp/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-16-8 常磐ビル2F,35.656536,139.697546,Boogie Back[HipHop Reggae Jazz Soul Funk ],バー,HipHop ･ Jazz ･ Reggae ･ Soul ･ Funk ･ etc.,03-6427-0464,(20:00 又は 19:00から),(日 ※要確認),目算20名前後,"1,500円～",https://www.facebook.com/musicbarboogieback/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-19-11 中村ビル1F-2F,35.659481,139.696025,Mikkeller Tokyo[Others ],ビアバー,Others,03-6427-0793,平日 15:00-24:30金 15:00-25:30土 12:00-25:30日 12:00-24:30,無休,1階:30名程(スタンディング含め) ※目算,"3,000円ビア1杯: ハーフサイズ550円～ / パイント1,000円前後～",http://mikkeller.jp/
渋谷区,渋谷三丁目,-,東京都渋谷区渋谷3-15-2 MTエステートビル4F,35.655916,139.705533,POINT･66[Allmix ],サウンドバー,Allmix,03-3498-6113,19:00-05:00,日 ･ 祝,40人,3000円,https://twitter.com/point_66
渋谷区,円山町,-,東京都渋谷区円山町2-3 6F-5F,35.658555,139.695231,TSUTAYA O-nest[All Genre ],ライブハウス,All Genre,03-3462-4420,※スケジュールによる,不定,250名,"2,500円～",https://shibuya-o.com/nest/
渋谷区,宇田川町,-,東京都渋谷区宇田川町3-10 いちごフィエスタ渋谷4F,35.662464,139.698741,gee-ge.[POPs Rock Acoustic Folk ],ライブバー,Acoustic ･ POPs ･ Folk ･ Rock,03-6416-3468,18:00～ ※ライブは日ごと変動バー 23:00-05:00,不定休,～100人,4000円,-
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-14-8 2F-4F,35.658793,139.69551,TSUTAYA O-EAST[Live Others All Genre ],ライブハウス,Live ･ All Genre ･ Others,03-5458-4681,イベント･スケジュールにより異なる,不定,1300人,公演により変動,http://shibuya-o.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町3-7 ヒューリック渋谷公園通りビル1F,35.662535,139.698978,koe space[HipHop House Techno Live Disco Soul Funk Electro ],イベントスペース,Techno ･ House ･ HipHop ･ Electro ･ Funk ･ Disco ･ Soul ･ Live,Closed,※催し物による (DJイベントの場合 20:00-24:00 が多い),無し,-,2000円,http://hotelkoe.com/music/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビルB1F,35.660122,139.696007,DAIA[Others ],パーティースペース,Others,03-5489-3750,イベントによる,不定,200名 (立),-,https://daia.tokyo/
渋谷区,宇田川町,-,東京都渋谷区宇田川町15-1 渋谷PARCO内 B1F,35.66203,139.698953,QUATTRO LABO[R&B Rock Jazz Soul 70s 80s World ],カフェバー,Jazz ･ Soul ･ AOR ･ 70s ･ 80s ･ World ･ R&B ･ Rock ･ etc.,03-6455-3001,月-土・祝前: カフェ11:00-17:00 / バー18:00-26:00日曜・祝日: 23:30まで,無し・パルコの営業日に準ずる,33席,"1,000円～",https://quattrolabo.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-17 ライズビル2F / 4F,35.661583,139.69864,WWW X[Techno Live POPs Rock Electro Folk ],ライブハウス,Live ･ POPs ･ Techno ･ Electro ･ Rock ･ Folk ･ etc.,03-5458-7688,※公演による,-,約600人,-,http://www-shibuya.jp/
渋谷区,円山町,-,東京都渋谷区円山町2-3 2F,35.658451,139.695307,TSUTAYA O-WEST[Live Others POPs Rock Jazz ],ライブハウス,Others ･ POPs ･ Rock ･ Jazz ･ Live,03-5784-7088,※スケジュールにより異なる,無休,600人,-,http://shibuya-o.com/
渋谷区,円山町,-,東京都渋谷区円山町1-3 猪鼻ビルB1F,35.659611,139.695421,nob[Live Others ],バー ･ 貸切,Live ･ Others,03-3464-9593,18:00～※イベント時は要確認,祝日,約50人,"3,000円",https://shibuya-nob.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町11-11 柳光ビル本館3F,35.662574,139.697254,喫茶SMiLE[House Allmix Live Others Jazz ],カフェバー,Live ･ Allmix ･ House ･ Jazz ･ Others,03-6416-3998,18:00-24:00 ※土日は変動する為、要確認,-,30名未満 (目算),ランチ500円～ / イベント時1500円,https://twitter.com/udagawasmile
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-13-3 MST道玄坂2F,35.657504,139.698636,Shibuya GABIGABI[Others POPs Rock Acoustic Folk Blues ],ライブバー,Rock ･ Acoustic ･ Folk ･ Blues ･ POPs ･ Others,03-3463-5538,19:00-25:00,無し,20席前後,"1,500円～2,000円",http://www.gabigabi.jp/
渋谷区,神南一丁目,-,東京都渋谷区神南1-7-9 北谷マンションB1F,35.664142,139.699331,Green Lounge[Others ],パーティースペース,Others,03-6455-3308,10:00～,不定休,120人,4000円,-
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トウセン宇田川ビル1F,35.662441,139.697849,STAR LOUNGE[HipHop Allmix Live R&B DUBSTEP All Genre ],ライブハウス,HipHop ･ Allmix ･ Live ･ R&B ･ DUBSTEP ･ All Genre,03-6277-5373,※ライブスケジュールにより異なる,-,250人,-,http://www.starlounge.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町10-1 パークビルB1F,35.662498,139.696951,JUMP[HipHop House Techno Reggae Rock Electro ],DJバー,HipHop ･ Reggae ･ House ･ Techno ･ Rock ･ Electro,03-6416-9203,20:00-05:00 ※イベントにより異なる,-,80人,3000円,http://www.shibuyajump.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-9 クレタケビル3F,35.662485,139.697645,Organ Bar[HipHop House Techno Allmix Reggae R&B Disco Old school Soul Funk ],CLUB,HipHop ･ House ･ Allmix ･ Techno ･ Reggae ･ R&B ･ Disco ･ Old school ･ Soul ･ Funk,03-5489-5460,21:00～ ※詳細はHPでご確認ください。,無休,小箱,2000円,http://www.organ-b.net/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-25-17 カスミビル4F,35.659563,139.697664,RUBY ROOM[House Techno Live Rock ],CLUB ･ バー,House ･ Techno ･ Live ･ Rock ･ etc.,03-3780-3022,20:00～ ※イベントにより異なる,不定休,100人前後,2800円,http://rubyroomtokyo.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-9 くれたけビル4F,35.662479,139.697758,Club BALL[HipHop House Reggae Others Jazz Disco Soul Funk ],ミュージックバー,House ･ Soul ･ Jazz ･ Funk ･ Disco ･ HipHop ･ Reggae ･ Others,03-3476-6533,スケジュールにより変動,-,-,3000円,http://www.shibuya-ball.com/
渋谷区,神宮前五丁目,-,東京都渋谷区神宮前5-27-7 B1F,35.664782,139.703455,Galaxy Gingakei[House Techno Others Disco ],ミュージックスペース ･ ギャラリー,Others,03-6427-2099,※イベント･スケジュールにより異なる,-,136m2 | 有効床面積 84m2,2000円～,http://www.thegalaxy.jp/
渋谷区,神南一丁目,-,東京都渋谷区神南1-3-4 神南ビル B1F,35.664664,139.701247,UNDER DEER LOUNGE[Live POPs Soul Funk All Genre ],ミュージックラウンジ,Live ･ POPs ･ Soul ･ Funk ･ All Genre,03-5728-2655,17:00-24:00,無休,50人～150人前後,4000円,http://www.under-dl.jp/
渋谷区,東二丁目,-,東京都渋谷区東2-20-13 シャトレー渋谷B1F,35.65338,139.70901,dining&bar KITSUNE[HipHop House Others Electronic ],ダイニングバー,House ･ HipHop ･ Electronic ･ Others,03-5766-5911,日-木･祝 18:00-24:00 / 金･土･祝前 18:00-05:00,無し (年始は休業となる),300人,3500円,http://kitsune-web.jp/
渋谷区,桜丘町,-,東京都渋谷区桜丘町16-7 鈴木ビルB1F,35.656379,139.70111,Woodstock[Live Rock ],バー,Live ･ Rock ･ etc.,03-6712-7963,19:00-03:00,日,目算80名未満 / 40席前後,"3,000円カクテル800円～ / ビール650円～",https://bar-woodstock.com/
渋谷区,神南一丁目,-,東京都渋谷区神南1-15-7 COENビルB1,35.663613,139.699312,UNDERBAR[HipHop House R&B Electronic ],CLUB,HipHop ･ House ･ R&B ･ Electronic,03-3780-0858,18:00～ ※日により変動、要確認,無休,80人,"3,000円",http://www.underbar.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町11-1 柳光ビル別館B1F,35.662651,139.697275,ROCKAHOLIC[Rock ],ミュージックバー,Rock ･ Metal ･ Punk,03-6416-9469,19:00-05:00,無休,48席,2500円,http://bar-rockaholic.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トウセン宇田川町ビル3F,35.662469,139.697931,Milkyway[Live All Genre ],ライブハウス ･ バー,Live ･ All Genre,03-6416-3227,※イベント･スケジュールにより異なる,-,250人,3000円前後,http://www.shibuyamilkyway.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トウセン宇田川町ビル2F,35.662563,139.697858,shibuya THE GAME[HipHop Reggae R&B ],Club,HipHop ･ R&B ･ Reggae,03-5456-5038,※イベントにより異なる,-,300人,3500円,http://www.shibuyathegame.com/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-10-2 志水ビルB1F,35.660668,139.705076,club bar FAMILY[HipHop Techno Allmix R&B BlackMusic ],CLUB,BlackMusic ･ HipHop ･ Techno ･ Allmix ･ R&B,03-3400-9182,HP参照,不定休,200人,3000円,http://club-bar-family.com/
渋谷区,桜丘町,-,東京都渋谷区桜丘町26-1 セルリアンタワー東急ホテル2F,35.656547,139.699536,JZ Brat SOUND OF TOKYO[House POPs R&B Rock Jazz Soul ],ダイニングクラブ,Jazz ･ Soul ･ House ･ POPs ･ R&B ･ Rock,03-5728-0168,17:30-23:30 (クラブイベント開催時は05:00まで営業),-,スタンディング200人 / 着席時100人,ミュージックチャージ 3150円～ / 金･土曜日深夜 クラブイベント -エントランス 1000/1drink～,http://www.jzbrat.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-17 ライズビル地下,35.661544,139.698721,WWW[Live All Genre ],ライブハウス,Live ･ All Genre,03-5458-7685,※イベントにより異なる,不定休,400人,3800円,http://www-shibuya.jp/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-13-2 宝ビルB1F,35.657549,139.698586,NOSTYLE[HipHop House Techno Allmix Electronic Jazz ],CLUB,Allmix ･ Techno ･ HipHop ･ House ･ Electronic ･ Jazz,03-3462-4375,※イベントにより異なる,-,100人,"3,300円",http://nostyle2003.com/
渋谷区,桜丘町,-,東京都渋谷区桜丘町17-10 吉野ビル3F,35.656246,139.701066,Bar star star[Allmix Live POPs Rock ],バー,Rock ･ Allmix ･ POPs ･ Live,03-6427-0186,19:00-03:00,無休,50人,1500円,https://www.barstarstar.com/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-15-3 プリメーラ道玄坂B1F,35.657267,139.697791,La.mama[Live POPs R&B Rock Folk ],ライブハウス,Live ･ POPs ･ Folk ･ Rock ･ R&B,03-3464-0801,-,-,スタンディング 250人,-,http://lamama.net/
渋谷区,宇田川町,-,東京都渋谷区宇田川町36-3 渋谷営和ビル5F,35.661985,139.697417,CAFE&DINNER スタジオ[House Techno Allmix R&B ],カフェ,House ･ Techno ･ Allmix ･ R&B,03-3770-7723,月-木12:00-24:00 / 金･土･祝前 12:00-05:00,無休,50人,ランチ850円 / 夜2000円前後,https://www.facebook.com/cafedinerstudio/
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-16 国際ビルB館B1F,35.661511,139.698538,GARRET udagawa[Live Others POPs Rock ],ライブハウス,POPs ･ Rock ･ Live ･ Others,03-3463-0169,※スケジュールにより異なる,-,300人,-,http://www.cyclone1997.com/garret/garret_home.html
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-23-13 SHIBUYA DELITOWER B1,35.660118,139.696101,EN SOF TOKYO[House Techno Others Electro Drum&Bass BassMusic ],ダイニングバー,Techno ･ House ･ Electro ･ Drum&Bass ･ BassMusic ･ Others,03-5728-5349,19:00～,無休,70人,3000円,http://en-sof.jp/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル 1F-B1F,35.65902,139.69553,NEVERLAND[House Allmix R&B EDM TOP40 ],CLUB,ALLMIX ･ EDM ･ TOP40 ･ House ･ R&B ･ etc.,03-6416-0377,20:00～,無し,(200名～ ※目算),"2,000円～",https://neverland.love/
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-16 国際ビルA館B2F,35.661424,139.698375,CYCLONE[Live Rock ],ライブハウス,Rock ･ Live,03-3463-0069,18:00～ ※スケジュールにより異なる,-,300人,3000円,http://www.cyclone1997.com/
渋谷区,渋谷三丁目,-,東京都渋谷区渋谷3-18-7 渋谷東1号館5F,35.65715,139.703816,OTO[HipHop House Techno Allmix R&B Electronic Jazz Disco Lounge ],CLUB,Disco ･ Lounge ･ Allmix ･ Techno ･ House ･ HipHop ･ Jazz ･ Electronic ･ R&B,03-3486-8477,※スケジュールにより異なる,-,-,-,http://shibuya-oto.com/
渋谷区,円山町,-,東京都渋谷区円山町1-8,35.659003,139.695322,club asia[HipHop House Trance Techno Live Reggae Electro Drum&Bass ],CLUB,House ･ HipHop ･ Trance ･ Techno ･ Drum&Bass ･ Live ･ Reggae ･ Electro,03-5458-2554,※イベントにより異なる,無し,600人,"4,000円",http://asia.iflyer.jp/venue/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビル3F,35.660069,139.695828,Icon[House Techno Electronic Lounge ],ラウンジ ･ イベントスペース,Techno ･ House ･ Electronic ･ Lounge,03-6277-5987,ランチ(月?金) 11:30-15:30 / 貸切パーティー 24時間対応可能 / ※イベント時は異なる,-,180人,ランチ1000円 / パーティー 3000円～,http://www.icon.cx/
渋谷区,円山町,-,東京都渋谷区円山町2-20 農場協会ビル1F,35.65878,139.694892,White Space Lab[Others ],カフェ＆バー,Others,03-6416-3973,19:00-24:00※最新の情報とは異なる場合がございます。必ず事前にご確認下さい。,日 ･ 月,50名,"2,000円前後",https://www.white-space-lab.com/
渋谷区,神南一丁目,-,東京都渋谷区神南1-13-15 光立ビルB1F,35.663937,139.700106,KOARA[House Techno Allmix Disco ],DJバー,Techno ･ House ･ Allmix ･ Disco,03-6423-0644,月-木21:00-05:00金･土21:00-06:00日17:00-23:00※最新の情報とは異なる場合があります。必ず事前にご確認下さい。,-,40人前後,3000円,http://www.koara-tokyo.com/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-10-7 グローリア宮益坂III B1F,35.66043,139.704948,Shibuya HOME[Live All Genre ],ライブハウス,All Genre ･ Live,03-5774-5822,※スケジュールにより異なる,-,120人,-,http://www.toos.co.jp/home/
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-17-6 プロスペクトB1F,35.656804,139.696987,GUILTY[Live POPs R&B Rock All Genre ],ライブハウス,Live ･ POPs ･ R&B ･ Rock ･ All Genre,03-3770-1130,-,-,250人,-,http://www.guilty.ne.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トウセン宇田川ビル B1F,35.662507,139.697836,CHELSEA HOTEL[Techno Allmix Live DUBSTEP ],ライブハウス ･ クラブ,Techno ･ DUBSTEP ･ Live ･ Allmix ･ Others,03-3770-1567,※イベントスケジュールにより異なる,-,300人,-,http://www.chelseahotel.jp/
渋谷区,宇田川町,-,東京都渋谷区宇田川町32-13-4 クアトロビル5F,35.660979,139.69757,CLUB QUATTRO[Live Others POPs Rock ],ライブハウス,Live ･ Others ･ POPs ･ Rock,03-3477-8750,※スケジュールにより異なる,-,800人,3000円前後,http://www.club-quattro.com/
渋谷区,神南一丁目,-,東京都渋谷区神南1-15-8 引き出しのような家にB1F,35.663666,139.699343,nagomix[Others ],イベントスペース,Others,03-6809-0833,スケージュールによるDJブース開放日あり (17:00-22:00)貸切可能時間 10:00-23:00,-,200人,-,http://nagomix.co.jp/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-10-7 グローリア宮益坂III B1F,35.660461,139.705049,LUSH[Live Others All Genre ],CLUB ･ ライブハウス,Live ･ All Genre ･ Others,03-5467-3071,クラブタイム 23:00-05:00,-,100人,2000円 1ドリンク～,http://www.toos.co.jp/lush/
渋谷区,桜丘町,-,東京都渋谷区桜丘町15-19 第8東都ビルB1F,35.656468,139.701619,THE ROOM[House Jazz Disco Crossover ],CLUB,House ･ Crossover ･ Disco ･ Jazz ･ etc.,03-3461-7167,スケジュールにより異なる,-,100人,3000円～,http://www.theroom.jp
渋谷区,道玄坂一丁目,-,東京都渋谷区道玄坂1-17-12 野々ビル2F,35.657207,139.69695,Edge End[Live Rock Lounge ],DJBAR,Lounge ･ Live ･ Rock,03-5458-6385,20:00～ ※スケジュールにより変動,不定休,-,3000円,http://www.edgeend.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町11-6 渋谷宇田川KKビル3F,35.66233,139.697452,ROOTS[HipHop House Trance Techno Allmix Reggae ],DJバー,Reggae ･ House ･ Trance ･ Allmix ･ HipHop ･ Techno,03-6273-2345,19:00-05:00 ※日により変わる,不定,50人～70人,3000円,http://www.roots1998.com/
渋谷区,神宮前六丁目,-,東京都渋谷区神宮前6-18-8 ニュー関口ビルB1F,35.664346,139.702588,CROCODILE[Live Others ],ライブハウス,Live ･ Others,03-3499-5205,18:00-25:00,-,100名,3500円,http://www.crocodile-live.jp/
渋谷区,渋谷三丁目,-,東京都渋谷区渋谷3-1-9 渋谷第3KKビルB1F,35.657656,139.707899,Violetta[Others Electro ],バー,Others ･ Electro,03-6427-5041,17:00-24:00 ※変動あり,不定休,立40人,"(3,500円)",-
渋谷区,宇田川町,-,東京都渋谷区宇田川町10-2 渋谷宇田川町テナント1F,35.662652,139.69707,FLAMINGO[Others ],カフェ ･ バー,Others,03-6416-5513,月-土 11:30-05:00ランチ 11:30-15:00 / アイドル 15:00-18:00 / ディナー 18:00-23:00 / 深夜 23:00～日 11:30-24:00,無し,60名 (席 30程),"1,000円～2,500円",https://www.udagawacafe.com/cafe-flamingo/
渋谷区,円山町,-,東京都渋谷区円山町2-3 O-WESTビル7F,35.658586,139.695345,7th FLOOR[Live Others POPs Rock ],ライブハウス ･ バー,Live ･ Others ･ POPs ･ Rock,03-3462-4466,ライブ ※スケジュールにより異なる (ランチライブ営業もあり) バータイム 23:00-05:00 (ライブ終了後),-,100人,-,http://7th-floor.net/
渋谷区,神南一丁目,-,東京都渋谷区神南1-12-14 星ビル301,35.66293,139.700488,TRUMPROOM[House Techno Electronic DUBSTEP ],CLUB,House ･ Techno ･ Electronic ･ DUBSTEP,03-3770-2325,-,無休,300人 / 2フロア 約70坪,4000円,-
渋谷区,神南一丁目,-,東京都渋谷区神南1-6-8 B1F,35.664398,139.699112,eggman[Live All Genre ],ライブハウス,Live ･ All Genre,03-3496-1561,※イベントにより異なる,-,350人,"4,000円",http://eggman.jp/
渋谷区,東一丁目,-,東京都渋谷区東1-25-2 マルハシビルB1F,35.654609,139.708495,CLUB CRAWL[Live Others Rock Acoustic ],ライブハウス ･ CLUB,Rock ･ Acoustic ･ Live ･ Others,03-3498-3113,All Night event 23:30～ ※イベントにより異なる,-,200人,イベント時 DOOR / 2000円～3000円 1ドリンク,http://bighitcompany.com/crawl/
渋谷区,宇田川町,-,東京都渋谷区宇田川町20-15 ヒューマックスパビリオン渋谷公園通りB1F,35.661234,139.700105,GRANDE[Others All Genre ],ラグジュアリーレストラン,Others,0120-926-428,12:00-06:00,無休,250人,4000円,http://www.pasela-shibuya.com/grande/
渋谷区,宇田川町,-,東京都渋谷区宇田川町10-1 パークビル2F,35.66245,139.696952,虎子食堂[Allmix All Genre ],レストラン ･ バー,Allmix ･ All Genre,03-6416-1197,月-土･祝日前 18:00-04:00 / 日･祝 18:00-01:00※イベント時のは、各イベントにより異なる。,無休,70人,2800円,http://toranoko-shokudo.com/
渋谷区,桜丘町,-,東京都渋谷区桜丘町16-12 MUSIC LAND KEY B1F,35.656793,139.701089,RUIDO K2[Live Others POPs Rock Jazz All Genre ],ライブハウス ･ CLUB,Live ･ Others ･ POPs ･ Rock ･ Jazz ･ All Genre,Closed,※スケジュールにより異なる,-,200人,-,http://www.ruido.org/k2/
渋谷区,猿楽町,-,東京都渋谷区猿楽町3-9 アベニューサイド代官山3F,35.652056,139.704292,NOMAD[Live Others ],ライブハウス,Live ･ Others,03-3770-3723,ライブ開始は変動(公演可能時間: 10:00-15:00 / 15:30-22:00),不定,80人,-,http://www.daikanyama-nomad.com/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-6-3,35.660831,139.705767,COZMO’S[Live Others All Genre ],カフェ ･ バー ･ イベントスペース,Others ･ Live ･ All Genre,03-3407-5166,18:00～,日,40名前後 ※目算,1000円～2000円,http://cozmos.spikebarjoint.com/
渋谷区,円山町,-,東京都渋谷区円山町2-4 Dr.ジーカンズ1F,35.65827,139.695431,A BAR[HipHop Allmix R&B EDM ],CLUB,Allmix ･ EDM ･ HipHop ･ R&B,-,ATOMの営業に準ずる,-,-,-,-
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-22-6,35.659701,139.695546,しぶや花魁[Allmix ],DJバー ･ レストラン,Allmix,03-5456-8782,18:00-05:00 / 18:00-24:00,不定休,席数 : 1F 20人 / 2F 25人,3000円,http://oiran.asia/
渋谷区,神南一丁目,-,東京都渋谷区神南1-9-11 インタービルⅡ 5F,35.664933,139.701557,Cafe Apres-midi[House Live Others Disco Soul ],バー ･ カフェ,Soul ･ Disco ･ House ･ Live ･ Others,03-5428-5121,金 19:00-25:00土 11:30-23:30日 11:30-19:00,月-木,25席,2000円,http://apres-midi.biz/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-29-5 渋谷プライム5F,35.659452,139.698413,eplus LIVING ROOM CAFE&DINING[Live Others POPs Jazz Acoustic Folk Blues ],ライブカフェバー,Live ･ Acoustic ･ Jazz ･ POPs ･ Folk ･ Blues ･ Others,03-6452-5424,11:30-23:30 (L.O 23:00)日･祝 11:30-22:00 (L.O 21:00),不定休,300席,ランチ1000円～ / 夜4000円～ミュージックチャージ 500円,https://livingroomcafe.jp/
渋谷区,神宮前六丁目,-,東京都渋谷区神宮前6-20-10 ミヤシタパーク北街区 1F-3F,35.663229,139.701866,or[Others ],カフェ ･ クラブ,Others,03-6712-5277,※当面の間 08:00～23:003階のクラブは17:00～※コロナウイルス情勢により変更の可能性あり1階: 08:00-05:002階: 13:00-05:003階: 20:00-05:00,商業施設ミヤシタパークの営業に準ずる,1階: 100名 / 22席 (151平米)2階: 100名 / 22席 (149平米)3階: 300名 / 54席 (279平米)合計: 500名 / 98席※人数はフロアごとの最大入場可能者数,"4,000円～",-
渋谷区,円山町,-,東京都渋谷区円山町2-16 1F,35.658474,139.695165,WOMB LOUNGE[House Techno Electronic Bass ],ラウンジ ･ イベントスペース,Techno ･ House ･ Electronic ･ Bass ･ etc.,03-5459-1383,22:00～ ※イベントにより異なる,不定休,-,3500円,http://www.womb.co.jp/lounge/
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-27-1 高架下1F,35.659606,139.701161,Cafe & Bar SCRAMBLE[Allmix ],カフェ ･ バー,Allmix,03-5468-1200,09:00-02:00 / 金･土･祝前 09:00-05:00,無休,立 120名 (70席前後),1500円,-
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-29-12 吉田ビルB1F,35.659568,139.697832,Yellow Blank Market[House Techno Bass Electro ],DJバー,BassMusic ･ Electro ･ Techno ･ House ･ etc.,不明,金･土 21:00-09:00 / 日 18:00-24:00※変更の可能性あり、要確認,-,-,"2,000円～",-
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-3 ホテルユニゾ渋谷B1F,35.662489,139.69842,NOS ORG[Others ],ダイニングバー,Others,Closed,18:00-02:00 / 日･祝 17:00-23:00,不定休,立 200人 (100席以上),3000円,-
渋谷区,宇田川町,-,東京都渋谷区宇田川町21-7 不二ビルB1F,35.659942,139.700118,GASPANIC Center-Gai[Allmix ],DJバー,Allmix,Closed,18:00-05:00,無休,-,"2,500円",-
渋谷区,円山町,-,東京都渋谷区円山町5-3 荻原ビルB1F,35.656912,139.695579,Dimension[Others All Genre Electro ],イベントスペース,Electro ･ All Genre ･ Others,Closed,※イベントによる,-,-,2500円,https://www.facebook.com/DimensionTokyo
渋谷区,宇田川町,-,東京都渋谷区宇田川町10-1 パークビル 3F,35.662509,139.697012,Rock no Cocoro[Rock 70s 80s ],ミュージックバー,Rock ･ 70s ･ 80s ･ Punk ･ Metal,Closed,19:00～,不定休,-,2500円,https://twitter.com/rocknococoro
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル5F/6F,35.659027,139.695523,LOUNGE NEO[HipHop House Techno Allmix Reggae R&B Rock Electro Drum&Bass ],CLUB,HipHop ･ House ･ Techno ･ Allmix ･ Reggae ･ R&B ･ Rock ･ Electro ･ Drum&Bass,Closed,※イベントにより異なる,不定休,260人,"4,000円",http://loungeneo.com/venue/home
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル1F/B1F,35.659027,139.695523,VUENOS[Allmix Live Others Rock ],ライブハウス,Live ･ Rock ･ Allmix ･ Others,Closed,※ライブスケジュールにより異なる,不定休,地下1階メインフロア200人 / 1階ラウンジ50人,"4,000円",http://vuenos.com/venue/home
渋谷区,渋谷三丁目,-,東京都渋谷区渋谷3-1-9 第3KKビルB1F,35.657677,139.707868,Test Flight[POPs Classics Soul 90s Lounge Acoustic ],バー兼カフェ,Acoustic ･ POPs ･ Classics ･ Soul ･ 90s ･ Lounge ･ etc.,Closed,12:00-24:00 ※変動の可能性あり、要事前確認,不定,20席前後 ※目算,"昼 1,000円 / 夜 2,000円～",-
渋谷区,神南一丁目,-,東京都渋谷区神南1-23-13 丸大ビルB1F,35.66012,139.70106,PLUG IN STUDIO[Rock Acoustic ],ライブハウス ･ イベントスペース,Acoustic ･ Rock ･ etc.,03-5428-9188,09:00-23:00,-,100名 / 着席60名,"2,500円～",https://shibuya-plug.tv/
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-21-7 第8矢澤ビル2F/3F,35.659027,139.695523,Glad[HipHop Live R&B Rock ],Club,Live ･ Rock ･ HipHop ･ R&B,Closed,※イベントにより異なる,不定,200～250人,"3,500円",http://shibuya-glad.com/venue/home
渋谷区,代官山町,-,東京都渋谷区代官山町11-12 日進ヒルズ代官山B1F,35.65094,139.703647,Debris[House Techno Others Disco ],ミュージックバー,Techno ･ House ･ Disco ･ Others,03-6416-4334,19:00-24:00 / 日 18:00-23:00,月,40名未満 (目算),"2,000円～(イベントによりミュージックチャージ又はエントランス料金が発生)粥 850円～ / 薬膳茶 600円",-
渋谷区,恵比寿南三丁目,-,東京都渋谷区恵比寿南3-1-25 ICE CUBE1F/2F,35.646061,139.706325,Batica[House Techno Allmix Live Rock Jazz Bass ],ライブハウス ･ CLUB,Live ･ Techno ･ Allmix ･ House ･ Bass ･ Jazz ･ Rock,03-5734-1995,※イベントにより異なる,不定休,150人,"4,000円未満",http://www.batica.jp/
