指標名,コンベンション施設,,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,,
年次,2024/2/1取得,,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention_venues/,,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2021年度：199件、2022年度：202件、2023年度：）,,,,,,,
,,,,,,,,
区,町丁,町丁,エリア,住所,緯度,経度,施設名,URL
渋谷区,渋谷二丁目,渋谷２丁目,-,東京都渋谷区渋谷2-21-1渋谷ヒカリエ9階,35.658924,139.703554,ヒカリエホール・カンファレンス,https://www.hikarie.jp/hall-conference/
渋谷区,神宮前五丁目,神宮前５丁目,-,東京都渋谷区神宮前5-53-70,35.66238,139.708308,国連大学本部ビル,http://jp.unu.edu/
渋谷区,渋谷四丁目,渋谷４丁目,-,東京都渋谷区渋谷4-4-25,35.659619,139.710783,アイビーホール(青学会館),http://www.ivyhall.jp/
渋谷区,神宮前五丁目,神宮前５丁目,-,東京都渋谷区神宮前5-53-67,35.66303,139.707705,東京ウィメンズプラザ,http://www1.tokyo-womens-plaza.metro.tokyo.jp/
渋谷区,渋谷一丁目,渋谷１丁目,-,東京都渋谷区渋谷1-9-8朝日生命宮益坂ビル4・5階,35.660083,139.704695,渋谷サンスカイルーム,http://www.sunskyroom.jp
渋谷区,宇田川町,宇田川町,-,東京都渋谷区宇田川町1-1,35.663954,139.698077,LINE CUBE SHIBUYA,https://linecubeshibuya.com
渋谷区,千駄ケ谷一丁目,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷1-17-1,35.678756,139.711463,東京体育館,http://www.tef.or.jp/tmg
新宿区,霞ヶ丘町,霞ケ丘町,-,東京都新宿区霞ヶ丘町3-1,35.673748,139.716599,明治神宮野球場,http://www.jingu-stadium.com
渋谷区,神南二丁目,神南２丁目,-,東京都渋谷区神南2-1-1,35.666926,139.699773,国立代々木競技場 第一体育館,http://www.naash.go.jp/yoyogi/
渋谷区,神南二丁目,神南２丁目,-,東京都渋谷区神南2-1-1,35.666926,139.699773,国立代々木競技場 第二体育館,http://www.naash.go.jp/yoyogi/
港区,元赤坂二丁目,元赤坂２丁目,-,東京都港区元赤坂2-2-23,35.677948,139.721879,明治記念館,http://www.meijikinenkan.gr.jp/
渋谷区,桜丘町,桜丘町,-,東京都渋谷区桜丘町26-1,35.656455,139.699418,セルリアンタワー東急ホテル,http://www.ceruleantower-hotel.com
渋谷区,道玄坂一丁目,道玄坂１丁目,-,東京都渋谷区道玄坂1-12-2渋谷マークシティ内,35.658741,139.699759,渋谷エクセルホテル東急,https://www.tokyuhotels.co.jp/shibuya-e/index.html
新宿区,霞ヶ丘町,霞ケ丘町,-,東京都新宿区霞ヶ丘町4-1,35.674201,139.715521,日本青年館ホール,http://nippon-seinenkan.or.jp/dai-hall/index.html
渋谷区,神宮前五丁目,神宮前５丁目,-,東京都渋谷区神宮前5-31,35.664488,139.703967,TRUNK(HOTEL),http://trunk-hotel.com/event/
新宿区,霞ヶ丘町,霞ケ丘町,-,東京都新宿区霞ヶ丘町4-1,35.674201,139.715521,日本青年館ホテル,http://nippon-seinenkan.or.jp/
渋谷区,渋谷三丁目,渋谷３丁目,-,東京都渋谷区渋谷3-21-3 渋谷ストリーム ホール,35.657164,139.703221,渋谷ストリームホール,http://stream-hall.jp/
新宿区,西新宿二丁目,西新宿２丁目,-,東京都新宿区西新宿2-4-1新宿NSビル,35.688188,139.693745,新宿NSビル,http://www.shinjuku-ns.co.jp
新宿区,西新宿八丁目,西新宿８丁目,-,東京都新宿区西新宿8-17-3住友不動産新宿グランドタワー,35.696349,139.691184,ベルサール新宿グランド・新宿グランドコンファレンスセンター,https://www.bellesalle.co.jp/shisetsu/shinjuku/bs_shinjukugrand/
新宿区,新宿六丁目,新宿６丁目,-,東京都新宿区新宿6-14-1,35.695412,139.709421,新宿文化センター,http://www.regasu-shinjuku.or.jp/?p=355
新宿区,西新宿一丁目,西新宿１丁目,-,東京都新宿区西新宿1-6-1新宿エルタワー1・30階,35.692073,139.697305,新宿エルタワーサンスカイルーム,http://www.sunskyroom.jp
新宿区,西新宿二丁目,西新宿２丁目,-,東京都新宿区西新宿2-6-1新宿住友ビル,35.69142,139.692595,新宿住友ホール・スカイルーム,https://www.bellesalle.co.jp/
新宿区,西新宿一丁目,西新宿１丁目,-,東京都新宿区西新宿1-26-2新宿野村ビル2F,35.693004,139.695339,野村コンファレンスプラザ新宿,http://www.nc-plaza.com/index.html
渋谷区,代々木三丁目,代々木３丁目,-,東京都渋谷区代々木3-25-3あいおいニッセイ同和新宿ビル,35.684713,139.692298,あいおいニッセイ同和損保新宿ビル 新宿ホール・会議室,-
渋谷区,代々木二丁目,代々木２丁目,-,東京都渋谷区代々木2-12-10全労済会館,35.687013,139.697244,全労済ホール/スペース・ゼロ,http://www.spacezero.co.jp
新宿区,西新宿三丁目,西新宿３丁目,-,東京都新宿区西新宿3-7-1新宿パークタワー3階,35.685349,139.690884,パークタワーホール,http://www.ozone.co.jp/parktowerhall/
渋谷区,千駄ケ谷四丁目,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷4-25-2,35.681036,139.70503,SYDホール,http://www.syd.or.jp/hallgaiyo.htm
新宿区,西新宿二丁目,西新宿２丁目,-,東京都新宿区西新宿2-2-1,35.689685,139.694664,京王プラザホテル,https://www.keioplaza.co.jp/
新宿区,西新宿六丁目,西新宿６丁目,-,東京都新宿区西新宿6-6-2,35.692729,139.691067,ヒルトン東京,https://tokyo.hiltonjapan.co.jp/
新宿区,西新宿二丁目,西新宿２丁目,-,東京都新宿区西新宿2-7-2,35.690962,139.691059,ハイアットリージェンシー東京,http://www.hyattregencytokyo.com
新宿区,西新宿三丁目,西新宿３丁目,-,東京都新宿区西新宿3-7-1-2,35.6855,139.690739,パークハイアット東京,http://tokyo.park.hyatt.jp
渋谷区,代々木二丁目,代々木２丁目,-,東京都渋谷区代々木2-3-1,35.686952,139.698733,ホテルサンルートプラザ新宿,https://www.sunroute-mice.jp/hotel/plazashinjuku
新宿区,西新宿三丁目,西新宿３丁目,-,東京都新宿区西新宿3-2-9,35.686971,139.693281,新宿ワシントンホテル,http://www.shinjyuku-wh.com/
新宿区,戸塚町,戸塚町１丁目,-,東京都新宿区戸塚町1-104-19,35.710358,139.722466,リーガロイヤルホテル東京,https://www.rihga.co.jp/tokyo/
新宿区,大久保三丁目,大久保３丁目,-,東京都新宿区大久保3-8-2住友不動産新宿ガーデンタワーB2・1F,35.70778,139.703348,ベルサール高田馬場,https://www.bellesalle.co.jp/shisetsu/shinjuku/bs_takadanobaba/
新宿区,西新宿六丁目,西新宿６丁目,-,東京都新宿区西新宿6-13-1　住友不動産新宿セントラルパークビル1Ｆ,35.692901,139.688829,ベルサール新宿セントラルパーク,https://www.bellesalle.co.jp/shisetsu/shinjuku/bs_shinjuku/
新宿区,西新宿二丁目,西新宿２丁目,-,東京都新宿区西新宿2-6-1 新宿住友ビル1階,35.691213,139.692361,新宿住友ビル 三角広場,https://office-b.sumitomo-rd.co.jp/sankakuhiroba/
江東区,住吉二丁目,住吉２丁目,-,東京都江東区住吉2-28-36,35.68844,139.819482,ティアラこうとう(江東公会堂),http://www.kcf.or.jp/tiara
江東区,三好四丁目,三好４丁目,-,東京都江東区三好4-1-1,35.679725,139.807995,東京都現代美術館,http://www.mot-art-museum.jp/
江東区,新木場一丁目,新木場１丁目,-,東京都江東区新木場1-18-8 木材会館2階,35.644191,139.826538,木材会館,http://www.mokuzai-tonya.jp
江東区,清澄三丁目,清澄３丁目,-,東京都江東区清澄3-3-9,35.680905,139.79726,清澄庭園,http://www.tokyo-park.or.jp
江東区,東陽六丁目,東陽６丁目,-,東京都江東区東陽6-3-3,35.674554,139.814586,ホテル イースト21東京,http://www.hotel-east21.co.jp
